coord_op_code,coord_op_method_code,parameter_code,parameter_value,param_value_file_ref,uom_code
1027,9617,8640,0.08352,,9203
1027,9617,8641,-0.00864,,9203
1027,9617,8642,-3.8e-06,,9203
1028,9617,8623,6.2280987,,9203
1028,9617,8624,-0.03924,,9203
1028,9617,8625,-0.03276,,9203
1028,9617,8626,2.84e-05,,9203
1028,9617,8638,-13276.58,,9104
1028,9617,8639,2.9368989,,9203
1028,9617,8640,0.07272,,9203
1028,9617,8641,0.00216,,9203
1028,9617,8642,-1.79e-05,,9203
1029,9632,8619,155000,,9001
1029,9632,8620,463000,,9001
1029,9632,8621,663395.607,,9001
1029,9632,8622,5781194.38,,9001
1029,9632,8624,-51.681,,9203
1029,9632,8625,3290.525,,9203
1029,9632,8626,20.172,,9203
1029,9632,8627,1.133,,9203
1029,9632,8628,2.075,,9203
1029,9632,8629,0.251,,9203
1029,9632,8630,0.075,,9203
1029,9632,8631,-0.012,,9203
1030,9632,8619,663395.607,,9001
1030,9632,8620,5781194.38,,9001
1030,9632,8621,155000,,9001
1030,9632,8622,463000,,9001
1030,9632,8624,56.619,,9203
1030,9632,8625,3290.362,,9203
1030,9632,8626,20.184,,9203
1030,9632,8627,-0.861,,9203
1030,9632,8628,2.082,,9203
1030,9632,8629,-0.023,,9203
1030,9632,8630,0.07,,9203
1030,9632,8631,-0.025,,9203
1031,9632,8619,155000,,9001
1031,9632,8620,463000,,9001
1031,9632,8621,663395.563,,9001
1031,9632,8622,5781194.442,,9001
1031,9632,8624,-51.718,,9203
1031,9632,8625,3290.521,,9203
1031,9632,8626,20.154,,9203
1031,9632,8627,1.152,,9203
1031,9632,8628,2.061,,9203
1031,9632,8629,0.238,,9203
1031,9632,8630,0.058,,9203
1031,9632,8631,-0.013,,9203
1032,9632,8619,663395.563,,9001
1032,9632,8620,5781194.442,,9001
1032,9632,8621,155000,,9001
1032,9632,8622,463000,,9001
1032,9632,8624,99943.4175,,9203
1032,9632,8625,-3290.3612,,9203
1032,9632,8626,-20.1673,,9203
1032,9632,8627,0.8387,,9203
1032,9632,8628,-2.0651,,9203
1032,9632,8629,0.0334,,9203
1032,9632,8630,-0.0523,,9203
1032,9632,8631,0.23,,9203
1033,9631,8619,0,,9001
1033,9631,8620,0,,9001
1033,9631,8621,449681.702,,9001
1033,9631,8622,5460505.326,,9001
1033,9631,8624,-71.3747,,9203
1033,9631,8625,1858.8407,,9203
1033,9631,8626,-5.4504,,9203
1033,9631,8627,-16.9681,,9203
1033,9631,8628,4.0783,,9203
1033,9631,8629,0.2193,,9203
1034,9631,8619,500000,,9001
1034,9631,8620,5500000,,9001
1034,9631,8621,448933.793,,9001
1034,9631,8622,5461423.984,,9001
1034,9631,8624,28.7827,,9203
1034,9631,8625,-1843.8236,,9203
1034,9631,8626,0.0864,,9203
1034,9631,8627,11.9065,,9203
1034,9631,8628,-4.0793,,9203
1034,9631,8629,0.0809,,9203
1035,9621,8611,0,,9202
1035,9621,8614,271.053,,9110
1035,9621,8621,2610200.48,,9001
1035,9621,8622,4905282.73,,9001
1036,9633,8664,,ostn97.txt,
1037,9632,8619,155000,,9001
1037,9632,8620,463000,,9001
1037,9632,8621,526577.124,,9001
1037,9632,8622,5778575.474,,9001
1037,9632,8624,99969.1014,,9203
1037,9632,8625,533.6385,,9203
1037,9632,8626,3.3943,,9203
1037,9632,8627,-0.1391,,9203
1037,9632,8628,2.0658,,9203
1037,9632,8629,0.0677,,9203
1037,9632,8630,0.0561,,9203
1037,9632,8631,-0.0148,,9203
1038,9632,8619,526577.124,,9001
1038,9632,8620,5778575.474,,9001
1038,9632,8621,155000,,9001
1038,9632,8622,463000,,9001
1038,9632,8624,100028.0577,,9203
1038,9632,8625,-533.9532,,9203
1038,9632,8626,-3.3943,,9203
1038,9632,8627,0.1935,,9203
1038,9632,8628,-2.0687,,9203
1038,9632,8629,-0.0235,,9203
1038,9632,8630,-0.0554,,9203
1038,9632,8631,0.0167,,9203
1039,9633,8664,,OSTN02_OSGM02_GB.txt,
1040,9633,8664,,OSTN02_OSGM02_GB.txt,
1041,9648,8619,53.5,,9102
1041,9648,8620,-7.7,,9102
1041,9648,8621,53.5,,9102
1041,9648,8622,-7.7,,9102
1041,9648,8623,0.763,,9203
1041,9648,8632,-0.374,,9203
1041,9648,8634,2.852,,9203
1041,9648,8635,5.703,,9203
1041,9648,8636,13.11,,9203
1041,9648,8639,-2.81,,9203
1041,9648,8643,-0.119,,9203
1041,9648,8644,0.17,,9203
1041,9648,8645,-0.887,,9203
1041,9648,8646,4.877,,9203
1041,9648,8647,3.913,,9203
1041,9648,8648,2.163,,9203
1041,9648,8650,-46.666,,9203
1041,9648,8651,-27.795,,9203
1041,9648,8652,18.867,,9203
1041,9648,8670,-61.678,,9203
1041,9648,8671,113.743,,9203
1041,9648,8677,-265.898,,9203
1041,9648,8683,-95.377,,9203
1041,9648,8684,-284.294,,9203
1041,9648,8690,-853.95,,9203
1041,9648,8694,0.1,,9201
1041,9648,8695,3600,,9201
1041,9648,8716,-4.487,,9203
1041,9648,8717,0.123,,9203
1041,9648,8718,0.215,,9203
1041,9648,8719,-0.515,,9203
1041,9648,8720,0.183,,9203
1041,9648,8721,-0.265,,9203
1041,9648,8722,-0.57,,9203
1041,9648,8723,0.414,,9203
1041,9648,8724,-0.341,,9203
1041,9648,8725,-4.68,,9203
1041,9648,8726,1.196,,9203
1042,9648,8619,53.5,,9102
1042,9648,8620,-7.7,,9102
1042,9648,8621,53.5,,9102
1042,9648,8622,-7.7,,9102
1042,9648,8623,0.763,,9203
1042,9648,8632,-0.374,,9203
1042,9648,8634,2.852,,9203
1042,9648,8635,5.703,,9203
1042,9648,8636,13.11,,9203
1042,9648,8639,-2.81,,9203
1042,9648,8643,-0.119,,9203
1042,9648,8644,0.17,,9203
1042,9648,8645,-0.887,,9203
1042,9648,8646,4.877,,9203
1042,9648,8647,3.913,,9203
1042,9648,8648,2.163,,9203
1042,9648,8650,-46.666,,9203
1042,9648,8651,-27.795,,9203
1042,9648,8652,18.867,,9203
1042,9648,8670,-61.678,,9203
1042,9648,8671,113.743,,9203
1042,9648,8677,-265.898,,9203
1042,9648,8683,-95.377,,9203
1042,9648,8684,-284.294,,9203
1042,9648,8690,-853.95,,9203
1042,9648,8694,0.1,,9201
1042,9648,8695,3600,,9201
1042,9648,8716,-4.487,,9203
1042,9648,8717,0.123,,9203
1042,9648,8718,0.215,,9203
1042,9648,8719,-0.515,,9203
1042,9648,8720,0.183,,9203
1042,9648,8721,-0.265,,9203
1042,9648,8722,-0.57,,9203
1042,9648,8723,0.414,,9203
1042,9648,8724,-0.341,,9203
1042,9648,8725,-4.68,,9203
1042,9648,8726,1.196,,9203
1043,9651,8617,55,,9102
1043,9651,8618,0,,9102
1043,9651,8623,-5.56098e-06,,9203
1043,9651,8632,5.68797e-08,,9203
1043,9651,8633,-2.32217e-09,,9203
1043,9651,8634,-7.69931e-09,,9203
1043,9651,8635,-7.86953e-09,,9203
1043,9651,8636,-6.12216e-09,,9203
1043,9651,8637,-4.01382e-09,,9203
1043,9651,8639,1.48944e-05,,9203
1043,9651,8643,1.5226e-06,,9203
1043,9651,8644,9.10592e-07,,9203
1043,9651,8645,-3.82241e-07,,9203
1043,9651,8646,-8.51732e-07,,9203
1043,9651,8647,-5.66713e-07,,9203
1043,9651,8648,-1.85188e-07,,9203
1043,9651,8649,2.84312e-08,,9203
1043,9651,8650,6.84853e-08,,9203
1043,9651,8651,5.00828e-08,,9203
1043,9651,8652,4.15937e-08,,9203
1043,9651,8653,7.62236e-09,,9203
1043,9651,8696,1,,9201
1043,9651,8716,-1.55391e-06,,9203
1043,9651,8717,-4.0262e-07,,9203
1043,9651,8718,-5.09693e-07,,9203
1043,9651,8719,-8.19775e-07,,9203
1043,9651,8720,-2.47592e-07,,9203
1043,9651,8721,1.36682e-07,,9203
1043,9651,8722,1.86198e-07,,9203
1043,9651,8723,1.2335e-07,,9203
1043,9651,8724,2.68191e-06,,9203
1043,9651,8725,2.4529e-06,,9203
1043,9651,8726,2.944e-07,,9203
1044,9653,8619,155000,,9001
1044,9653,8620,463000,,9001
1044,9653,8621,663395.607,,9001
1044,9653,8622,5781194.38,,9001
1044,9653,8624,-51.681,,9203
1044,9653,8625,3290.525,,9203
1044,9653,8626,20.172,,9203
1044,9653,8627,1.133,,9203
1044,9653,8628,2.075,,9203
1044,9653,8629,0.251,,9203
1044,9653,8630,0.075,,9203
1044,9653,8631,-0.012,,9203
1044,9653,8694,1e-05,,9201
1044,9653,8695,1,,9201
1045,9653,8619,663395.607,,9001
1045,9653,8620,5781194.38,,9001
1045,9653,8621,155000,,9001
1045,9653,8622,463000,,9001
1045,9653,8624,56.619,,9203
1045,9653,8625,3290.362,,9203
1045,9653,8626,20.184,,9203
1045,9653,8627,-0.861,,9203
1045,9653,8628,2.082,,9203
1045,9653,8629,-0.023,,9203
1045,9653,8630,0.07,,9203
1045,9653,8631,-0.025,,9203
1045,9653,8694,1e-05,,9201
1045,9653,8695,1,,9201
1046,9653,8619,155000,,9001
1046,9653,8620,463000,,9001
1046,9653,8621,663395.563,,9001
1046,9653,8622,5781194.442,,9001
1046,9653,8624,-51.718,,9203
1046,9653,8625,3290.521,,9203
1046,9653,8626,20.154,,9203
1046,9653,8627,1.152,,9203
1046,9653,8628,2.061,,9203
1046,9653,8629,0.238,,9203
1046,9653,8630,0.058,,9203
1046,9653,8631,-0.013,,9203
1046,9653,8694,1e-05,,9201
1046,9653,8695,1,,9201
1047,9653,8619,663395.563,,9001
1047,9653,8620,5781194.442,,9001
1047,9653,8621,155000,,9001
1047,9653,8622,463000,,9001
1047,9653,8624,99943.4175,,9203
1047,9653,8625,-3290.3612,,9203
1047,9653,8626,-20.1673,,9203
1047,9653,8627,0.8387,,9203
1047,9653,8628,-2.0651,,9203
1047,9653,8629,0.0334,,9203
1047,9653,8630,-0.0523,,9203
1047,9653,8631,0.23,,9203
1047,9653,8694,1e-05,,9201
1047,9653,8695,1,,9201
1048,9652,8619,0,,9001
1048,9652,8620,0,,9001
1048,9652,8621,449681.702,,9001
1048,9652,8622,5460505.326,,9001
1048,9652,8624,-71.3747,,9203
1048,9652,8625,1858.8407,,9203
1048,9652,8626,-5.4504,,9203
1048,9652,8627,-16.9681,,9203
1048,9652,8628,4.0783,,9203
1048,9652,8629,0.2193,,9203
1048,9652,8694,1e-05,,9201
1048,9652,8695,1,,9201
1049,9652,8619,500000,,9001
1049,9652,8620,5500000,,9001
1049,9652,8621,448933.793,,9001
1049,9652,8622,5461423.984,,9001
1049,9652,8624,28.7827,,9203
1049,9652,8625,-1843.8236,,9203
1049,9652,8626,0.0864,,9203
1049,9652,8627,11.9065,,9203
1049,9652,8628,-4.0793,,9203
1049,9652,8629,0.0809,,9203
1049,9652,8694,1e-05,,9201
1049,9652,8695,1,,9201
1050,9653,8619,155000,,9001
1050,9653,8620,463000,,9001
1050,9653,8621,526577.124,,9001
1050,9653,8622,5778575.474,,9001
1050,9653,8624,99969.1014,,9203
1050,9653,8625,533.6385,,9203
1050,9653,8626,3.3943,,9203
1050,9653,8627,-0.1391,,9203
1050,9653,8628,2.0658,,9203
1050,9653,8629,0.0677,,9203
1050,9653,8630,0.0561,,9203
1050,9653,8631,-0.0148,,9203
1050,9653,8694,1e-05,,9201
1050,9653,8695,1,,9201
1051,9653,8619,526577.124,,9001
1051,9653,8620,5778575.474,,9001
1051,9653,8621,155000,,9001
1051,9653,8622,463000,,9001
1051,9653,8624,100028.0577,,9203
1051,9653,8625,-533.9532,,9203
1051,9653,8626,-3.3943,,9203
1051,9653,8627,0.1935,,9203
1051,9653,8628,-2.0687,,9203
1051,9653,8629,-0.0235,,9203
1051,9653,8630,-0.0554,,9203
1051,9653,8631,0.0167,,9203
1051,9653,8694,1e-05,,9201
1051,9653,8695,1,,9201
1052,9654,8617,52,,9102
1052,9654,8618,10,,9102
1052,9654,8623,-2.65261,,9203
1052,9654,8633,0.17197,,9203
1052,9654,8639,-4.13447,,9203
1052,9654,8643,1.98425,,9203
1052,9654,8644,0.30068,,9203
1052,9654,8645,-2.31939,,9203
1052,9654,8649,-1.70401,,9203
1052,9654,8652,-5.48711,,9203
1052,9654,8669,1.04974,,9203
1052,9654,8681,7.41956,,9203
1052,9654,8684,-1.61351,,9203
1052,9654,8685,5.92933,,9203
1052,9654,8686,-1.97974,,9203
1052,9654,8687,1.57701,,9203
1052,9654,8690,-6.52522,,9203
1052,9654,8691,16.85976,,9203
1052,9654,8692,-1.79701,,9203
1052,9654,8696,0.05235988,,9201
1052,9654,8697,-0.22899,,9203
1052,9654,8698,-0.05401,,9203
1052,9654,8699,-0.78909,,9203
1052,9654,8700,-0.10572,,9203
1052,9654,8701,0.05283,,9203
1052,9654,8702,0.02445,,9203
1052,9654,8703,-3.08344,,9203
1052,9654,8704,-14.32516,,9203
1052,9654,8705,4.49096,,9203
1052,9654,8706,9.9875,,9203
1052,9654,8707,7.80215,,9203
1052,9654,8708,-2.26917,,9203
1052,9654,8709,0.16438,,9203
1052,9654,8710,-17.45428,,9203
1052,9654,8711,-8.25844,,9203
1052,9654,8712,5.28734,,9203
1052,9654,8713,8.87141,,9203
1052,9654,8714,-3.48015,,9203
1052,9654,8715,0.71041,,9203
1052,9654,8716,2.06392,,9203
1052,9654,8717,0.77921,,9203
1052,9654,8718,0.26743,,9203
1052,9654,8719,0.10706,,9203
1052,9654,8721,0.76407,,9203
1052,9654,8722,-0.9543,,9203
1052,9654,8724,-1.50572,,9203
1052,9654,8725,1.94075,,9203
1052,9654,8726,-1.376,,9203
1053,9655,8727,,gr3df97a.txt,
1054,9655,8727,,gr3df97a.txt,
1055,9603,8605,-145.7,,9001
1055,9603,8606,-249.1,,9001
1055,9603,8607,1.5,,9001
1056,9607,8605,-85.645,,9001
1056,9607,8606,-273.077,,9001
1056,9607,8607,-79.708,,9001
1056,9607,8608,-2.289,,9104
1056,9607,8609,1.421,,9104
1056,9607,8610,-2.532,,9104
1056,9607,8611,3.194,,9202
1057,9607,8605,-202.234,,9001
1057,9607,8606,-168.351,,9001
1057,9607,8607,-63.51,,9001
1057,9607,8608,-3.545,,9104
1057,9607,8609,-0.659,,9104
1057,9607,8610,1.945,,9104
1057,9607,8611,2.1,,9202
1058,9607,8605,-18.944,,9001
1058,9607,8606,-379.364,,9001
1058,9607,8607,-24.063,,9001
1058,9607,8608,-0.04,,9104
1058,9607,8609,0.764,,9104
1058,9607,8610,-6.431,,9104
1058,9607,8611,3.657,,9202
1059,9603,8605,-294.7,,9001
1059,9603,8606,-200.1,,9001
1059,9603,8607,525.5,,9001
1060,9603,8605,-3.2,,9001
1060,9603,8606,-5.7,,9001
1060,9603,8607,2.8,,9001
1061,9603,8605,-20.8,,9001
1061,9603,8606,11.3,,9001
1061,9603,8607,2.4,,9001
1062,9607,8605,226.702,,9001
1062,9607,8606,-193.337,,9001
1062,9607,8607,-35.371,,9001
1062,9607,8608,2.229,,9104
1062,9607,8609,4.391,,9104
1062,9607,8610,-9.238,,9104
1062,9607,8611,0.9798,,9202
1063,9603,8605,-2.227,,9001
1063,9603,8606,6.524,,9001
1063,9603,8607,2.178,,9001
1064,9603,8605,-0.652,,9001
1064,9603,8606,1.619,,9001
1064,9603,8607,0.213,,9001
1065,9603,8605,44.585,,9001
1065,9603,8606,-131.212,,9001
1065,9603,8607,-39.544,,9001
1066,9636,8605,593.032,,9001
1066,9636,8606,26,,9001
1066,9636,8607,478.741,,9001
1066,9636,8608,1.9848,,9109
1066,9636,8609,-1.7439,,9109
1066,9636,8610,9.0587,,9109
1066,9636,8611,4.0772,,9202
1066,9636,8617,3903453.148,,9001
1066,9636,8618,368135.313,,9001
1066,9636,8667,5012970.306,,9001
1067,9603,8605,-92.1,,9001
1067,9603,8606,-89.9,,9001
1067,9603,8607,114.9,,9001
1068,9613,8657,,guhpgn.las,
1068,9613,8658,,guhpgn.los,
1069,9613,8657,,guhpgn.las,
1069,9613,8658,,guhpgn.los,
1070,9603,8605,-100,,9001
1070,9603,8606,-248,,9001
1070,9603,8607,259,,9001
1071,9603,8605,-181,,9001
1071,9603,8606,-122,,9001
1071,9603,8607,225,,9001
1072,9656,8728,50000,,9001
1072,9656,8729,-500000,,9001
1073,9603,8605,-48,,9001
1073,9603,8606,55,,9001
1073,9603,8607,52,,9001
1074,9606,8605,-275.7224,,9001
1074,9606,8606,94.7824,,9001
1074,9606,8607,340.8944,,9001
1074,9606,8608,-8.001,,9104
1074,9606,8609,-4.42,,9104
1074,9606,8610,-11.821,,9104
1074,9606,8611,1,,9202
1075,9603,8605,-89.05,,9001
1075,9603,8606,-87.03,,9001
1075,9603,8607,-124.56,,9001
1076,9636,8605,,,
1076,9636,8606,,,
1076,9636,8607,,,
1076,9636,8608,,,
1076,9636,8609,,,
1076,9636,8610,,,
1076,9636,8611,,,
1076,9636,8617,,,
1076,9636,8618,,,
1076,9636,8667,,,
1077,9636,8605,,,
1077,9636,8606,,,
1077,9636,8607,,,
1077,9636,8608,,,
1077,9636,8609,,,
1077,9636,8610,,,
1077,9636,8611,,,
1077,9636,8617,,,
1077,9636,8618,,,
1077,9636,8667,,,
1078,9636,8605,-265.983,,9001
1078,9636,8606,76.918,,9001
1078,9636,8607,20.182,,9001
1078,9636,8608,0.4099,,9104
1078,9636,8609,2.9332,,9104
1078,9636,8610,-2.6881,,9104
1078,9636,8611,0.43,,9202
1078,9636,8617,4098647.674,,9001
1078,9636,8618,442843.139,,9001
1078,9636,8667,4851251.093,,9001
1079,9636,8605,-265.983,,9001
1079,9636,8606,76.918,,9001
1079,9636,8607,20.182,,9001
1079,9636,8608,0.4099,,9104
1079,9636,8609,2.9332,,9104
1079,9636,8610,-2.6881,,9104
1079,9636,8611,0.43,,9202
1079,9636,8617,4098647.674,,9001
1079,9636,8618,442843.139,,9001
1079,9636,8667,4851251.093,,9001
1080,9603,8605,175,,9001
1080,9603,8606,-38,,9001
1080,9603,8607,113,,9001
1081,9607,8605,174.05,,9001
1081,9607,8606,-25.49,,9001
1081,9607,8607,112.57,,9001
1081,9607,8608,0,,9104
1081,9607,8609,0,,9104
1081,9607,8610,-0.554,,9104
1081,9607,8611,0.2263,,9202
1082,9607,8605,174.05,,9001
1082,9607,8606,-25.49,,9001
1082,9607,8607,112.57,,9001
1082,9607,8608,0,,9104
1082,9607,8609,0,,9104
1082,9607,8610,-0.554,,9104
1082,9607,8611,0.2263,,9202
1083,9603,8605,50,,9001
1083,9603,8606,212,,9001
1083,9603,8607,381,,9001
1084,9603,8605,70,,9001
1084,9603,8606,207,,9001
1084,9603,8607,389.5,,9001
1085,9603,8605,65.334,,9001
1085,9603,8606,212.46,,9001
1085,9603,8607,387.63,,9001
1086,9607,8605,-33.722,,9001
1086,9607,8606,153.789,,9001
1086,9607,8607,94.959,,9001
1086,9607,8608,8.581,,9104
1086,9607,8609,4.478,,9104
1086,9607,8610,-4.54,,9104
1086,9607,8611,-8.95,,9202
1087,9603,8605,-112,,9001
1087,9603,8606,-110.3,,9001
1087,9603,8607,-140.2,,9001
1088,9603,8605,-223.7,,9001
1088,9603,8606,-67.38,,9001
1088,9603,8607,1.34,,9001
1089,9603,8605,-225.4,,9001
1089,9603,8606,-67.7,,9001
1089,9603,8607,7.85,,9001
1090,9603,8605,-227.1,,9001
1090,9603,8606,-68.1,,9001
1090,9603,8607,14.4,,9001
1091,9603,8605,-231.61,,9001
1091,9603,8606,-68.21,,9001
1091,9603,8607,13.93,,9001
1092,9603,8605,-225.06,,9001
1092,9603,8606,-67.37,,9001
1092,9603,8607,14.61,,9001
1093,9603,8605,-229.08,,9001
1093,9603,8606,-65.73,,9001
1093,9603,8607,20.21,,9001
1094,9603,8605,-230.47,,9001
1094,9603,8606,-56.08,,9001
1094,9603,8607,22.43,,9001
1095,9636,8605,-270.933,,9001
1095,9636,8606,115.599,,9001
1095,9636,8607,-360.226,,9001
1095,9636,8608,-5.266,,9104
1095,9636,8609,-1.238,,9104
1095,9636,8610,2.381,,9104
1095,9636,8611,-5.109,,9202
1095,9636,8617,2464351.59,,9001
1095,9636,8618,-5783466.61,,9001
1095,9636,8667,974809.81,,9001
1096,9636,8605,-270.933,,9001
1096,9636,8606,115.599,,9001
1096,9636,8607,-360.226,,9001
1096,9636,8608,-5.266,,9104
1096,9636,8609,-1.238,,9104
1096,9636,8610,2.381,,9104
1096,9636,8611,-5.109,,9202
1096,9636,8617,2464351.59,,9001
1096,9636,8618,-5783466.61,,9001
1096,9636,8667,974809.81,,9001
1097,9603,8605,28,,9001
1097,9603,8606,-121,,9001
1097,9603,8607,-77,,9001
1098,9603,8605,0,,9001
1098,9603,8606,0,,9001
1098,9603,8607,0,,9001
1099,9603,8605,0,,9001
1099,9603,8606,0,,9001
1099,9603,8607,0,,9001
1100,9603,8605,-166,,9001
1100,9603,8606,-15,,9001
1100,9603,8607,204,,9001
1101,9603,8605,-118,,9001
1101,9603,8606,-14,,9001
1101,9603,8607,218,,9001
1102,9603,8605,-134,,9001
1102,9603,8606,-2,,9001
1102,9603,8607,210,,9001
1103,9603,8605,-165,,9001
1103,9603,8606,-11,,9001
1103,9603,8607,206,,9001
1104,9603,8605,-123,,9001
1104,9603,8606,-20,,9001
1104,9603,8607,220,,9001
1105,9603,8605,-128,,9001
1105,9603,8606,-18,,9001
1105,9603,8607,224,,9001
1106,9603,8605,-161,,9001
1106,9603,8606,-14,,9001
1106,9603,8607,205,,9001
1107,9603,8605,-43,,9001
1107,9603,8606,-163,,9001
1107,9603,8607,45,,9001
1108,9603,8605,-133,,9001
1108,9603,8606,-48,,9001
1108,9603,8607,148,,9001
1109,9603,8605,-134,,9001
1109,9603,8606,-48,,9001
1109,9603,8607,149,,9001
1110,9603,8605,-150,,9001
1110,9603,8606,-250,,9001
1110,9603,8607,-1,,9001
1111,9603,8605,-143,,9001
1111,9603,8606,-236,,9001
1111,9603,8607,7,,9001
1112,9606,8605,593.16,,9001
1112,9606,8606,26.15,,9001
1112,9606,8607,478.54,,9001
1112,9606,8608,-6.3239,,9109
1112,9606,8609,-0.5008,,9109
1112,9606,8610,-5.5487,,9109
1112,9606,8611,4.0775,,9202
1113,9603,8605,-143,,9001
1113,9603,8606,-90,,9001
1113,9603,8607,-294,,9001
1114,9603,8605,-138,,9001
1114,9603,8606,-105,,9001
1114,9603,8607,-289,,9001
1115,9603,8605,-153,,9001
1115,9603,8606,-5,,9001
1115,9603,8607,-292,,9001
1116,9603,8605,-125,,9001
1116,9603,8606,-108,,9001
1116,9603,8607,-295,,9001
1117,9603,8605,-161,,9001
1117,9603,8606,-73,,9001
1117,9603,8607,-317,,9001
1118,9603,8605,-134,,9001
1118,9603,8606,-105,,9001
1118,9603,8607,-295,,9001
1119,9603,8605,-169,,9001
1119,9603,8606,-19,,9001
1119,9603,8607,-278,,9001
1120,9603,8605,-147,,9001
1120,9603,8606,-74,,9001
1120,9603,8607,-283,,9001
1121,9603,8605,-142,,9001
1121,9603,8606,-96,,9001
1121,9603,8607,-293,,9001
1122,9603,8605,-160,,9001
1122,9603,8606,-6,,9001
1122,9603,8607,-302,,9001
1123,9603,8605,-377,,9001
1123,9603,8606,681,,9001
1123,9603,8607,-50,,9001
1124,9603,8605,-73,,9001
1124,9603,8606,213,,9001
1124,9603,8607,296,,9001
1125,9603,8605,307,,9001
1125,9603,8606,304,,9001
1125,9603,8607,-318,,9001
1126,9603,8605,-384,,9001
1126,9603,8606,664,,9001
1126,9603,8607,-48,,9001
1127,9603,8605,-148,,9001
1127,9603,8606,136,,9001
1127,9603,8607,90,,9001
1128,9603,8605,-136,,9001
1128,9603,8606,-108,,9001
1128,9603,8607,-292,,9001
1129,9603,8605,-134.73,,9001
1129,9603,8606,-110.92,,9001
1129,9603,8607,-292.66,,9001
1130,9603,8605,-263,,9001
1130,9603,8606,6,,9001
1130,9603,8607,431,,9001
1131,9603,8605,-134,,9001
1131,9603,8606,229,,9001
1131,9603,8607,-29,,9001
1132,9603,8605,-206,,9001
1132,9603,8606,172,,9001
1132,9603,8607,-6,,9001
1133,9603,8605,-87,,9001
1133,9603,8606,-98,,9001
1133,9603,8607,-121,,9001
1134,9603,8605,-87,,9001
1134,9603,8606,-96,,9001
1134,9603,8607,-120,,9001
1135,9603,8605,-103,,9001
1135,9603,8606,-106,,9001
1135,9603,8607,-141,,9001
1136,9603,8605,-104,,9001
1136,9603,8606,-101,,9001
1136,9603,8607,-140,,9001
1137,9603,8605,-130,,9001
1137,9603,8606,-117,,9001
1137,9603,8607,-151,,9001
1138,9603,8605,-86,,9001
1138,9603,8606,-96,,9001
1138,9603,8607,-120,,9001
1139,9603,8605,-87,,9001
1139,9603,8606,-95,,9001
1139,9603,8607,-120,,9001
1140,9603,8605,-84,,9001
1140,9603,8606,-95,,9001
1140,9603,8607,-130,,9001
1141,9603,8605,-117,,9001
1141,9603,8606,-132,,9001
1141,9603,8607,-164,,9001
1142,9603,8605,-97,,9001
1142,9603,8606,-103,,9001
1142,9603,8607,-120,,9001
1143,9603,8605,-97,,9001
1143,9603,8606,-88,,9001
1143,9603,8607,-135,,9001
1144,9603,8605,-107,,9001
1144,9603,8606,-88,,9001
1144,9603,8607,-149,,9001
1145,9603,8605,-84,,9001
1145,9603,8606,-107,,9001
1145,9603,8607,-120,,9001
1146,9606,8605,-82.981,,9001
1146,9606,8606,-99.719,,9001
1146,9606,8607,-110.709,,9001
1146,9606,8608,-0.5076,,9109
1146,9606,8609,0.1503,,9109
1146,9606,8610,0.3898,,9109
