"CHANGE_ID","REPORT_DATE","DATE_CLOSED","REPORTER","REQUEST","TABLES_AFFECTED","CODES_AFFECTED","COMMENT","ACTION"
97.1699981689453,1997-06-04 00:00:00,1997-06-16 00:00:00,John Bobbitt; POSC,Clarify transformation methods,,,POSC documentation needs updating.  No change to db.,Notified reporter.
97.1800003051758,1997-06-04 00:00:00,1997-06-16 00:00:00,John Bobbitt; POSC,Correct Universal Polar Stereographic parameters,Trf_nonpoly,16061  16161,Values for latitude and longitude of natural origin transposed,Amend values for parameter_1 and parameter_2
97.1910018920898,1997-06-04 00:00:00,1997-06-16 00:00:00,John Bobbitt; POSC,Correct Michigan SP CS27 zones linear units,Horiz_CS,26811-3,Incorrect implementation of change 96.28,Correct linear unit from 9003 to 9004.
97.1920013427734,1997-06-06 00:00:00,1997-06-16 00:00:00,EPSG,Correct Michigan SP CS27 zones axes names,Horiz_CS,26801-3,Incorrect implementation of change 96.28,Amend remarks.  Also change axes abbreviations from EN to XY.
97.1999969482422,1997-06-06 00:00:00,2000-03-07 00:00:00,Dominic Sexton,Compress Access database,,,,Do so for all future releases.
97.2099990844727,1997-06-10 00:00:00,1997-06-16 00:00:00,Melita Kennedy; ESRI,Add missing geodetic transformations,Geod_trf,8148-8151,,8148 through 8151 added.
97.2200012207031,1997-06-11 00:00:00,1997-06-16 00:00:00,Melita Kennedy; ESRI,Clarify Swedish geodetic datum name,Geod_datum,6308,No change needed to db.,Notified reporter.
98.26,1998-10-10 00:00:00,1998-11-11 00:00:00,EPSG,Correct source GeogCS code in ProjCS report,,,,New reports included in v4.2.
97.231,1997-06-09 00:00:00,1999-10-20 00:00:00,Patrick Wheeler-Hoolahan;  Exploration Geodesy Inc.,Indian foot,UOM_length  UOM_length_alias  Ellipsoid  Geod_datum  HorizCS,9006  9013  7017  6243  4243,Length unit 9006 replaced by 9080 (effectively 9006 has been renamed).  Ellipsoid 7017 replaced by 7044 and 7045.  Geod datum 6243 and GeogCS 4243 renamed.  See also change request 99.91.,Delete length units 9006  9013; add 9080-7.  Add length alias 9088-90. Delete ellipsoid 7017; add 7044-5.  Rename geod_datum 6243; add 6144-6. Rename GeogCS 4243; add 4144-6;  (cont...)
97.2399978637695,1997-06-19 00:00:00,1997-06-19 00:00:00,John Bobbitt; POSC,Correct name of ETRS89 transformation to WGS84,Geod_trf  Trf_nonpoly,8049  1149,,Amend name of transformation to reflect geodetic datum and coordinate system terminology.
97.2509994506836,1997-06-30 00:00:00,1997-07-22 00:00:00,Chris Pryce; Shell,Hungarian EOV projection,Trf_nonpoly  Horiz_CS  Trf_method,,Algorithm under investigation,Add trf_method 9815; proj 19931; projCS 23700; trf_nonpoly 1273; trf_path 8582 8583; geod_trf 8182 8183.
97.2600021362305,1997-06-13 00:00:00,1997-06-19 00:00:00,John Bobbitt; POSC,Ellipsoidal heights,Vert_CS  Vert_datum,5001-5036  5601-5636,Ellipsoidal heights without datum are meaningless.,Ellipsoidal heights based on unspecified datum deleted.
97.2699966430664,1997-06-30 00:00:00,1997-06-30 00:00:00,EPSG,Swiss grid axes directions,Trf_nonpoly  Horiz_CS,19922  21790  30600,"Reference ""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",Change east axis name from X to Y and north name axis from Y to X in 21790 and 30600.  In 19922 change parameter 6 from 200000 to 600000 and change parameter 7 from 600000 to 200000.
97.2799987792969,1997-06-30 00:00:00,1997-07-22 00:00:00,Simon-Pierre Cadieux; Formatek,Add New Brunswick CS,,,,Added geodetic datum 6122; geogCS 4122; proj 19932; projCS 2200 2219 2220.
97.2900009155273,1997-07-07 00:00:00,1997-07-14 00:00:00,Andrew Ruffhead; UK Military Survey,Correct formula for geocentric to geodetic transformation,Trf_method,9602,,Correct sign in numerator from - to + in formula for latitude from geocentric coordinates.
97.3000030517578,1997-07-08 00:00:00,1997-07-22 00:00:00,Mike Ruth; SPOT,Add Finnish CS,,,,Added geodetic datum 6123; geogCS 4123; proj 18191-18194; projCS 2391-2394; vertical datum 5116; vertical CS 5717.
97.2519989013672,1997-07-22 00:00:00,1997-07-22 00:00:00,EPSG,Greater precision to GRS67 1/f,Ellipsoid  Geod_datum,7036  6291  4291  29121-29185,IAG gives value to 9 dp.  Until change request 97.25 the only datum utilising the ellipsoid tok the figure to 2 dp.,Amended 1/f in 7036 from 298.25 to 298.24717.  Remarks added to 4291 6291 and 29121-29185.
96.1389999389648,1996-06-02 00:00:00,1996-06-02 00:00:00,EPSG,Version 2.1 release,,,,
96.3000030517578,1996-12-12 00:00:00,1996-12-12 00:00:00,EPSG,Version 3.0 release,,,,
97.1490020751953,1997-04-11 00:00:00,1997-04-11 00:00:00,EPSG,Version 3.1 release,,,,
97.3300018310547,1997-08-28 00:00:00,1997-08-18 00:00:00,EPSG,Version 3.2 release,,,,
97.3099975585938,1997-07-22 00:00:00,1997-07-22 00:00:00,EPSG,Add projected CS for ETRS89,Horiz_CS,,,Added ProjCS 25828-25838
97.3199996948242,1997-07-22 00:00:00,1997-07-22 00:00:00,EPSG,Amend RSO Borneo,Horiz_CS  UOM_length,29800,Extended entries to include grid units other than chains.  Sears foot-metre ratio used.,Deleted ProjCS 29800 and replace by new 29871 (minor change to name and abbreviation).  Added UOM_length 9032; additional ProjCS 29872 and 29873.
97.3399963378906,1997-08-29 00:00:00,1997-11-13 00:00:00,John Bobbitt; POSC,Projected CS for Arc1950,HorizCS,,,Added 20934-20936; also for Arc 1960 added 21035-21037 and 21095-21097.
97.3499984741211,1997-08-29 00:00:00,1997-11-13 00:00:00,John Bobbitt; POSC,Geodetic transformation naming,Geod_trf  Trf_nonpoly  Trf_poly,,Discussed at 13/11/97 meeting. If the geodetic transformation labelling were made more intuitive the sequential naming of non-polynomial transformations could not be maintained.,None.
97.3600006103516,1997-10-02 00:00:00,1998-11-11 00:00:00,Simon-Pierre Cadieux; Formatek,Canadian NT transformation method,Trf_method  Geod_trf  Trf_path  Trf_nonpoly,,Operates between CS with positive west longitude. To be discussed at April 98 meeting.,Added transformation methods 9614-9615; non-polynomial transformations 1312-1313; tfm_path 8642-8445; geodetic transformations 8242-8245.
97.371,1997-10-02 00:00:00,1997-11-13 00:00:00,Simon-Pierre Cadieux; Formatek,Geodetic transformations for France,Geod_trf  Trf_path  Trf_nonpoly,,Requested changes to ED79 not added.  ED79 is a temporary scientific adjustment superceded by ED87.,Added non-polynomial transformations 8584-8588 and geodetic transformations 8184-8188.
97.379997253418,1997-10-02 00:00:00,1997-11-13 00:00:00,Simon-Pierre Cadieux; Formatek,MTM for Canada,HorizCS  Trf_nonpoly,,,Added 17700-17717; 17794-17795; 19933; 2290; 2294-2295; 32080-32097 and 32180-32197.
97.3899993896484,1997-10-03 00:00:00,1997-11-13 00:00:00,Lars Nilsson; Satellitbild,Swedish CS and transformations,HorizCS  Trf_nonpoly,4308  4814  19929  30800,,Changed longitude of natural origin value and prime meridian in 19929 from Stockholm to Greenwich; changed projCS 30800 to be based on GeogCS 4308 instead of 4814 and amended name to reflect local practice.
97.4000015258789,1997-10-03 00:00:00,1997-11-13 00:00:00,Lars Nilsson; Satellitbild,Add Swedish CS and transformations,Geod_datum  HorizCS  Vert_datum  VertCS   Geod_trf  Trf_path  Trf_nonpoly,,Because the EPSG tables do not include listings of geographic 3D coordinate systems it has not been possible to add RR92 or the geodetic transformation between RR92 and ETRS89.,Added geodetic datum 6124; horizCS 4124 and 2400; trf_nonpolynomial 1281 and geodetic transformation 8195.
97.4100036621094,1996-11-13 00:00:00,1997-11-13 00:00:00,Bruno Ravanas; Total,Add Indonesia Kalimantan Samboja datum,Geod_datum  HorizCS   Geod_trf  Trf_path  Trf_nonpoly,,,Added geodetic datum 6125; horizCS 4125 and 2550; trf_nonpolynomial 1282 and geodetic transformation 8196.
98.24,1998-09-29 00:00:00,1998-11-11 00:00:00,Jean-Patrick Girbig; Petroconsultants,Add Tunisia Mining Grid,Trf_method  HorizCS  Trf_nonpoly  UOM_length,,,Added length unit 9036; transformation method 9816; non-polynomial transformation 19927; geogCS 4816; projCS 22300.
97.42,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Change code rounding in csv files,Change,,EPSG uses real numbers for change records.  These are not stored precisely in Access.  Display using 3 decimal places.,None.
97.43,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Standardise areas of use,Area  HorizCS  VertCS  CompoundCS  Trf_nonpoly  Trf_poly,,The long-term intention is to link areas of use to ISO country codes and subdivisions thereof.,No action for country subdivision descriptions.  Abbreviations for grads eliminated.
97.44,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Correct area of use description,HorizCS,24891,,"Change area of use description from ""Peru east of 73 deg West"" to ""Peru west of 79 deg West"""
97.45,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Correct spelling,HorizCS,28404  28464,,"Change part of area of use description from ""Estona"" to ""Estonia"""
97.46,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Correct spelling,HorizCS,24821,,"Change part of area of use description from ""Surinam"" to ""Suriname"""
97.47,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Correct EPSG name,Trf_nonpoly  Geod_trf,1273  8182,,"Change EPSG name from ""HD72 to ERTS89 (1)"" to ""HD72 to ETRS89 (1)"""
97.48,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Check Schwarzeck to WGS84 transformations,Trf_nonpoly,1226  1271,No change made to non-polynomial transformation 1226.,In non-polynomial transformation 1271 parameter 3 (dZ) changed from 255.81 to -255.81 metres.  Note added to remarks re units.
97.49,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Amplify area of use description,Trf_nonpoly  HorizCS,12601  12602  13901  13902  26705  26706  26731  26733,,Extend area of use description to sub-state level.
97.5,1997-10-11 00:00:00,1997-11-13 00:00:00,Melita Kennedy; ESRI,Correct abbreviation in area of use description,Trf_nonpoly  HorizCS,14801  14802  14831  14832  26752  32152  32153,,"Correct abbreviation for minute of arc from ""mm"" to ""m""."
97.52,1997-10-23 00:00:00,1997-11-13 00:00:00,EPSG,Add vertical offset to transformation table,Trf_method,,,Added transformation method 9616; added transformation method field to V_offsets query.
97.53,1997-10-23 00:00:00,1998-04-16 00:00:00,EPSG,Correct font problems in formulae,Trf_method,,The formulae are available as a Word v7 document which includes symbol font.  Access v2 does not allow multiple fonts in one field.  The fomulae have been modified with symbols changed to letters.,Link web readme file to downloadable Word document.
97.54,1997-10-23 00:00:00,1997-11-13 00:00:00,EPSG,Add compound CS table,CompndCS,,,New table CMPD_CS added; COMPOUND query in v3 renamed CMPD_TRF in v4; new query CMPD_CS added.
97.55,1997-10-23 00:00:00,1997-11-13 00:00:00,Andrew Ruffhead; UK Military Survey,Correct the ellipsoid for ETRS89 datum,Geod_datum,6258,Because the two ellipsoids are nearly identical this change whilst being correct has no practical consequence.,Change ellipsoid reference from 7030 to 7019.
97.56,1997-11-13 00:00:00,1998-04-16 00:00:00,Roger Lott; BP,Add ISO format for degrees minutes seconds,Angle_unit,,Not adopted because (a) requires values to be held as text string rather than number and (b) not clear whether latitude and longitude can be given in separate fields.,None.
97.57,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Delete unnecessary abbreviations,Horiz_CS,21891-4,Abbreviations were identical to EPSG name,In 21891 to 21894 retain abbreviations; replace names which were identical text to abbreviation with new name.
97.58,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Delete unnecessary abbreviations,Horiz_CS,22032  22033,EPSG name is less than 25 characters,Delete unnecessary abbreviations in 22032 and 22033.
97.59,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Add necessary abbreviations,Horiz_CS,20437-9,EPSG name is greater than 24 characters,Add abbreviation.
97.6,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Correct hemisphere for longitude of origin,Trf_nonpoly,19932,,Change longitude of origin from 66.3 to -66.3 sexagesimal degrees.
97.611,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Amend formula reference for Hotine Oblique Mercator,Trf_method,9812,POSC documentation and formula expand USGS formula fo global application.,Formulas and example added.  Information source changed from reference of USGS publication publication 1395 to formulas as modified by EPSG/POSC.
98.01,1998-01-06 00:00:00,1998-03-12 00:00:00,Dalius Radis; HNIT-Baltic geoinfoServisas,Add Lithunian coordinate systems,Geod_datum  HorizCS  Trf_nonpoly  Trf_path  Geod_trf,,,Added geodetic datum 6126; geogCS 4126; projection 19934; projCS 2600; non-polynomial transformations1274 & 1283; geodetic transformations 8197 & 8198.
97.372,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Correct NGF,VertCS  Vert_datum,5707  5107,The CNIG states that NGF is a general term applying to all vertical network readjustments of France and recommends more specific terminology.,Delete VertCS 5707 and Vert_datum 5107; replace by 5719-5721 and 5118-5120.
97.63,1997-12-04 00:00:00,1997-12-08 00:00:00,Nick Hoffman; BHP,Adopt Accessv7,,,"There is no backward compatibility between Access versions 2, 7 and 8.  However as both v7 and v8 can import v2 of the EPSG db without problem we intend to retain v2 for the time being.",Replied to requestor
97.64,1997-12-10 00:00:00,1998-03-12 00:00:00,Hans Kremer; Chevron,Add miscellaneous geodetic datums,,,Insufficient justification provided.,Requestor asked to provide full coordinate system information.
97.65,1997-12-17 00:00:00,1998-11-11 00:00:00,Simon-Pierre Cadieux; Formatek,Add ISO country code to CS tables,,,Use the Area table to map ISO codes to country.  Reports accept country name input.,None.
98.02,1998-01-08 00:00:00,1998-11-11 00:00:00,Tim Magee; Maersk,Add reporting by country facility,,,,Reports by area for GeogCS  ProjCS  and Geocentric Transformations added.
98.03,1998-02-14 00:00:00,1998-03-12 00:00:00,Blair Parker; Crazy Mountain Joint Venture,Add Gunter's chain,UOM_length,,Gunter's chain is a measuring tool not a unit.,Add length units 9033-9035 US survey chain US survey link and US survey mile
98.04,1998-02-19 00:00:00,1998-04-16 00:00:00,Alan Haugh; Hydrosearch,Check geodetic transformation for Indian 1975 datum,Tfm_nonpoly,1154,The values for the transformation from DMA TR8350.2 version of 1987 have not been included as it is not clear to which coordinate system these apply.  See also change record 98.05.,Amended source information for non-polynomial transformation 1154.
98.06,1998-02-27 00:00:00,1998-06-30 00:00:00,Melita Kennedy; ESRI,Add counties to US SPCS area of use,Tfm_nonpoly  HorizCS,,To be considered during mid-98.,Added Area_use 277-406
98.05,1998-02-27 00:00:00,1998-04-16 00:00:00,Melita Kennedy; ESRI,Add NIMA TR8350.2 revision 3 geodetic datum transformations,Geod_trf  Trf_nonpoly,,,Added  non-polynomial transformations1284-1294 and 1304-1306; geodetic transformations 8199-8211 and 8226-8228.
98.07,1998-03-11 00:00:00,1998-11-11 00:00:00,Alexandra Garnier; Istar,Add old Spanish systems,Ellipsoid Geod_datum  HorizCS  Trf_nonpoly  Trf_path  Geod_trf,7028,,Added Geod_datum 6903; GeogCS 4903 and ProjCS 300; transformation method 9617; polynomial transformations 1001-1003 and geodetic transfprmations 8238-8241.  Changed ellipsoid semi-major axis from 6378297 given by Strasser to 6378298.3 as used in Spain.
98.08,1998-03-24 00:00:00,1998-04-01 00:00:00,EPSG,Version 4.0 release,,,,
97.612,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Check Swiss coordinate systems,Trf_nonpoly  HorizCS,19922  19923  21790 21791 31800,Value of origin for trf_non-poly 19922 of 46d 57m 07.89s N 7d 26m 22.335s E given in Bollinger 1967 has not been used by the Swiss mapping agencies who have retained the earlier value of 46d 57m 08.866s N 7d 26m 22.5s E.,HorizCS 31800 (Bern 1938 / Swiss New) deleted; HorizCS 21791  referred to trf 19922 rather from 19923; trf 19922 and 19923 changed from method 9814 to 9815 with parameters 3-5 and remarks added; parameters 1 and 2 for trf 19922 corrected (see comment).
2000.095,2000-03-07 00:00:00,2000-03-07 00:00:00,EPSG,Correct transformation name,Trf_non-poly  Geod_trf,1333  8393,,"Changed ""... to WGS84"" to ""... to WGS 84"" in EPSG name field for 1333.  Deleted double space in geod_trf EPSG name for 8393."
97.613,1997-11-13 00:00:00,1997-11-13 00:00:00,EPSG,Check Madagascar coordinate systems,Tfm_nonpolynomial,19911,,Changed transformation method from 9813 to 9815; added parameter 4 and remarks.
97.62,1997-11-12 00:00:00,1999-10-20 00:00:00,Stephan Nebiker; ETH Zurich,Add new Swiss coordinate systems,,6217  4217  21790-91  5108,,Replace g_datum 6217  geogCS 4217  projCS 21790-91 v_datum 5108  vertCS 5708 by 6149  4149  21780-1  5127  5728 respectively.  Add g_datum 6150-1  geogCS 4150-51  proj 19950  projCS 256  v_datum 5128  vertCS 5729  non-poly_tfm 1508-11  geod_tfm 8455-9.
98.09,1998-03-30 00:00:00,1998-04-16 00:00:00,Peter Ladstaetter; Siemens-Nixdorf,Use EPSG data in OGC well known text representation,,,,Readme file reworded.
98.101,1998-04-06 00:00:00,1998-04-16 00:00:00,Chris Pryce; Shell,Add Trinidad datum transformations,Trf_nonpoly  Geod_trf,,,Added  non-polynomial transformations1295-1296; geodetic transformations 8212-8213.
98.12,1998-04-14 00:00:00,1998-04-16 00:00:00,Simon-Pierre Cadieux; Formatek,Check ellipsoid parameters,Ellipsoid,7011,"In version 4.0 ellipsoid table issued with 1/f values having inappropriate precision.  In version 4.1 a precision of 5 decimal places, as v3.2, re-instated.",Change 7011 second parameter from inverse flattening value of 293.46602... to semi-minor axis value of 6356515.0 m.
98.11,1998-04-10 00:00:00,1998-04-16 00:00:00,Melita Kennedy; ESRI,Check Pulkovo 1942 geodetic transformations,Trf_nonpoly,1245  1275  1287-1293,The offset in names of single step geod_trf and their trf_nonpoly names has caused confusion.  To resolve this all non_polt transformation names will adopt their single step geod_trf name. There may be gaps in the sequencing of trf_nonpoly names.,For trf_nonpoly 1245 and 1275 ED50 to WGS 84 (x); x increased by 2.  For 1287-1293 Pulkovo 1942 to WGS 84 (y); y increased by 1.
98.14,1998-04-14 00:00:00,1998-04-16 00:00:00,Roger Lott; BP,Add Mozambique CS and transformations,Geod_datum  HorizCS  Trf_nonpoly  Geod_trf,,,Added geodetic datums 6127-6130; geogCS 41227-4130; projCS 2736 2737 3036 & 3037;  non-polynomial transformations 1297-1302; geodetic transformations 8214-8224; vertical datum 5121; vertCS 5722.
98.111,1998-04-14 00:00:00,1998-04-16 00:00:00,Jim Cain; Western Geophysical,Add Kazakstan Caspian geodetic transformation,Trf_nonpoly  Geod_trf,,,Added  non-polynomial transformation 1303; geodetic transformation 8225.
98.15,1998-05-08 00:00:00,1998-06-30 00:00:00,Richard Wylde; SIMA Consultancy,Check NIMA Algeria datum transformations,Trf_non-poly,1255  8158,NIMA advise that the published transformation parameter values are consistent with the data used in their derivation.  However EPSG believes that the data for non-polynomial transformation 1253 contains a blunder.,Cautionary note added to DMA Voirol Unifie 1960 to WGS 84 non-polynomial transformation 1255 and geodetic transformation 8158.
98.13,1998-04-15 00:00:00,1998-04-16 00:00:00,Simon-Pierre Cadieux; Formatek,Correct name,Geod_trf,8198,,"EPSG_name corrected from ""LKS94 to WGS84 (1)"" to ""LKS94 to WGS 84 (1)"".
          LKS94 to WGS84 (1)"
98.23,1998-09-29 00:00:00,1998-09-29 00:00:00,EPSG,Version 4.1 release,,,,Version 4.1 release.
98.25,1998-10-09 00:00:00,1998-11-11 00:00:00,EPSG,Add Angola ProjCSs and transformations,Trf_nonpoly  Geod_trf   Trf_nonpoly  HorizCS,,,Added non-polynomial transformations 16611-12 and 1317-1330; HorizCS 22091-92; Geodetic transformations 8249-8662.
98.28,1998-10-16 00:00:00,1998-11-11 00:00:00,EPSG,Change Common Offshore transformation name,Geod_trf,8237  8238,Geod_trf name changed from that of non-poly_trf abbreviation to non-poly_trf name.,Delete geod_trf 8237 and replace by 8238 retaining same path to non-poly_trf 1311.
98.27,1998-10-13 00:00:00,1999-04-22 00:00:00,Henri Dupuy; Woodside Petroleum.,Add Mauritania information,,,Insufficient information provided.,Referred to reporter.
98.29,1998-11-02 00:00:00,1998-11-11 00:00:00,Nadine Delisle; HMR,Check South Africa and Namibia ProjCS,,,No problem dentified.,Informed reporter.
98.3,1998-01-02 00:00:00,1998-11-11 00:00:00,Nadine Delisle; HMR,Correct datum for ProjCS NAD83 / North Carolina,HorizCS,26719,,Correct source GeogCS from 4267 to 4269.
98.31,1998-11-06 00:00:00,1998-11-11 00:00:00,EPSG,Add Iran Final Datum 1958,Geod_datum  HorizCS,,,Added Geod_datum 6132; GeogCS 4132 and ProjCS 3200.
98.32,1998-11-06 00:00:00,1998-11-11 00:00:00,Peter Laskowski; Intergraph,Increase ellipsoid parameter precision,Ellipsoid,7019  7030-7033  7036,5 decimal places in 1/f allows computation of semi-minor axis to better than 0.5mm.,Precision of 1/f increased from 5 decimal places to original publication precision.
98.33,1998-11-06 00:00:00,1998-11-11 00:00:00,Peter Laskowski; Intergraph,Expand ellipsoid second defining parameter types,Ellipsoid,,EPSG/POSC will retain the three geometric parameters a b and 1/f; the computation of other geometric parameters required for transformations is best left for the application; the introduction of physical parameters introduces unnecessary complexity.,Informed reporter.
98.34,1998-11-06 00:00:00,1999-04-22 00:00:00,Peter Laskowski; Intergraph,Store original ellipsoid unit definitions,Ellipsoid,7001  7004  7008,,Added original definition as remarks to 7001 7004 and 7008; added 7042.
98.35,1998-11-06 00:00:00,1999-04-22 00:00:00,Richard Wylde; SIMA Consultancy,Add TM offset from UTM and associated CS,HorizCS  Trf_nonpoly,,,Added non-polynomial transformations 16400 16405 16506 16611 16612 16636;  horizCS 3176 22091 22092 23090 23095 32766.
98.37,1998-11-10 00:00:00,1998-11-11 00:00:00,Rossano Carlotti; AGIP,Check Rome prime meridian transformation,Trf_non-poly,1262,,Erroneous value of -7.26225 replaced with correct value of 12.27084.
98.381,1998-11-10 00:00:00,1998-11-11 00:00:00,Rossano Carlotti; AGIP,Check Trinidad geodetic transformations,Trf_non-poly,,See 98.380,See 98.380.
98.361,1998-11-06 00:00:00,1998-11-19 00:00:00,Richard Wylde; SIMA Consultancy,Check Petroconsultants country codes,Area,10  40  62  93  97  105  224  242  271,,Changed Petroconsultants codes for Area_IDs 10(8190>6190) 40(6610>6510) 62(8220>6220) 93(5520>6520) 97(8080>8680) 105(6230>6430) 242(8230>6230) and 271(3360>3370). Added Petroconsultants code 6600 for Area_ID 274.
98.39,1998-11-10 00:00:00,2002-09-19 00:00:00,APSG,Ensure at least 1 transformation to WGS84 for every GeogCS,,,See 2002.391,Case closed.
98.4,1998-11-11 00:00:00,1998-11-11 00:00:00,EPSG,Add Indian 1960 GeogCS,Geod_datum  HorizCS,,,Added geodetic datum 6131; geogCS 4131; projCS 3148  3149  3176.
98.41,1998-11-11 00:00:00,1999-10-20 00:00:00,EPSG,Add parameter units for all transformation parameters,,,To be implemented in v5.,
96.2699966430664,1996-11-12 00:00:00,1997-11-13 00:00:00,Jean-Patrick Girbig; Petroconsultants,Add  Australian data,Trf_nonpoly  Trf_path  Geod_trf,,,Added non-polynomial transformations 8589-8594 and geodetic transformations 8189-8594.
