coord_ref_sys_code,coord_ref_sys_name,area_of_use_code,coord_ref_sys_kind,coord_sys_code,datum_code,source_geogcrs_code,projection_conv_code,cmpd_horizcrs_code,cmpd_vertcrs_code,crs_scope,remarks,information_source,data_source,revision_date,change_id,show_crs,deprecated
2048,Hartebeesthoek94 / Lo19,1456,projected,6503,,4148,17519,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2049,Hartebeesthoek94 / Lo21,1457,projected,6503,,4148,17521,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2050,Hartebeesthoek94 / Lo23,1458,projected,6503,,4148,17523,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2051,Hartebeesthoek94 / Lo25,1459,projected,6503,,4148,17525,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2052,Hartebeesthoek94 / Lo27,1460,projected,6503,,4148,17527,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2053,Hartebeesthoek94 / Lo29,1461,projected,6503,,4148,17529,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2054,Hartebeesthoek94 / Lo31,1462,projected,6503,,4148,17531,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2055,Hartebeesthoek94 / Lo33,1463,projected,6503,,4148,17533,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2056,CH1903+ / LV95,1286,projected,4498,,4150,19950,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",Replaces CH1903/LV03 (code 21781).,,OGP,2005/05/27,1999.740 2005.180,1,0
2057,Rassadiran / Nakhl e Taqi,1338,projected,4400,,4153,19951,,,Engineering survey for terminal site only.,,Total-Fina,OGP,2000/03/07,1999.740,1,0
2058,ED50(ED77) / UTM zone 38N,1464,projected,4400,,4154,16038,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,1999.740,1,0
2059,ED50(ED77) / UTM zone 39N,1465,projected,4400,,4154,16039,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,1999.740,1,0
2060,ED50(ED77) / UTM zone 40N,1466,projected,4400,,4154,16040,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,1999.740,1,0
2061,ED50(ED77) / UTM zone 41N,1467,projected,4400,,4154,16041,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,1999.740,1,0
2062,Madrid 1870 (Madrid) / Spain,2366,projected,4499,,4903,19921,,,Large and medium scale topographic mapping and engineering survey.,Replaced by ED50 / UTM after 1966.,,OGP,2000/03/07,1999.740,1,0
2063,Dabola 1981 / UTM zone 28N,1468,projected,4400,,4315,16028,,,Large and medium scale topographic mapping and engineering survey.,Supersedes Conakry 1905 / UTM zone 28 (EPSG code 31528).,,OGP,1999/12/09,,1,1
2064,Dabola 1981 / UTM zone 29N,1469,projected,4400,,4315,16029,,,Large and medium scale topographic mapping and engineering survey.,Supersedes Conakry 1905 / UTM zone 29 (EPSG code 31529).,,OGP,1999/12/09,,1,1
2065,S-JTSK (Ferro) / Krovak,1306,projected,6501,,4818,19952,,,"Large and medium scale topographic mapping, cadastral and engineering survey. Due to distortions in survey network introduced after initial realisation the projection has an inaccuracy of several decimetres.",See projCRS code 5221 for north-orientated alternative introduced for GIS purposes. In Czech Republic technically improved in 2009 by S-JTSK/05 (Ferro) / Modified Krovak (CRS code 5224) but this CRS (2065) remains the legal system. See also CRS 5513.,"Research Institute for Geodesy Topography and Cartography (VUGTK); Prague.",OGP,2011/05/09,2010.071 2011.039,1,0
2066,Mount Dillon / Tobago Grid,1322,projected,4407,,4157,19924,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,,1,0
2067,Naparima 1955 / UTM zone 20N,3143,projected,4400,,4158,16020,,,Large and medium scale topographic mapping and engineering survey.,,,OGP,2000/03/07,,1,0
2068,ELD79 / Libya zone 5,1470,projected,4499,,4159,18240,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2069,ELD79 / Libya zone 6,1471,projected,4499,,4159,18241,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2070,ELD79 / Libya zone 7,1472,projected,4499,,4159,18242,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2071,ELD79 / Libya zone 8,1473,projected,4499,,4159,18243,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2072,ELD79 / Libya zone 9,1474,projected,4499,,4159,18244,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2073,ELD79 / Libya zone 10,1475,projected,4499,,4159,18245,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2074,ELD79 / Libya zone 11,1476,projected,4499,,4159,18246,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2075,ELD79 / Libya zone 12,1477,projected,4499,,4159,18247,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2076,ELD79 / Libya zone 13,1478,projected,4499,,4159,18248,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2077,ELD79 / UTM zone 32N,1479,projected,4400,,4159,16032,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2078,ELD79 / UTM zone 33N,1480,projected,4400,,4159,16033,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2079,ELD79 / UTM zone 34N,1481,projected,4400,,4159,16034,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2080,ELD79 / UTM zone 35N,1478,projected,4400,,4159,16035,,,Large and medium scale topographic mapping and engineering survey.,,Brown and Root,OGP,2000/03/07,,1,0
2081,Chos Malal 1914 / Argentina 2,1483,projected,4530,,4160,18032,,,Oil exploration.,,Various oil industry records,OGP,2010/03/31,2002.360 2009.094,1,0
2082,Pampa del Castillo / Argentina 2,1484,projected,4530,,4161,18032,,,Oil exploration.,,Various oil industry records,OGP,2010/03/31,2002.360 2009.094,1,0
2083,Hito XVIII 1963 / Argentina 2,1485,projected,4530,,4254,18032,,,Large and medium scale topographic mapping and engineering survey.,,Total-Fina,OGP,2010/03/31,2002.360 2009.094,1,0
2084,Hito XVIII 1963 / UTM zone 19S,2596,projected,4400,,4254,16119,,,Large and medium scale topographic mapping and engineering survey.,,Total-Fina,OGP,2010/11/02,2010.046,1,0
2085,NAD27 / Cuba Norte,1487,projected,4532,,4267,18061,,,Large and medium scale topographic mapping and engineering survey.,,Institut Cubano di Hidrografia (ICH),OGP,2000/03/07,,1,1
2086,NAD27 / Cuba Sur,1488,projected,4532,,4267,18062,,,Large and medium scale topographic mapping and engineering survey.,,Institut Cubano di Hidrografia (ICH),OGP,2000/03/07,,1,1
2087,ELD79 / TM 12 NE,1482,projected,4400,,4159,16412,,,Oil exploration.,,Total-Fina,OGP,2000/03/07,,1,0
2088,Carthage / TM 11 NE,1489,projected,4400,,4223,16411,,,Oil exploration by Total.,,Total-Fina,OGP,2000/03/07,,1,0
2089,Yemen NGN96 / UTM zone 38N,1490,projected,4400,,4163,16038,,,Large and medium scale topographic mapping and engineering survey.,,IGN Paris,OGP,2000/03/07,,1,0
2090,Yemen NGN96 / UTM zone 39N,1491,projected,4400,,4163,16039,,,Large and medium scale topographic mapping and engineering survey.,,IGN Paris,OGP,2000/03/07,,1,0
2091,South Yemen / Gauss Kruger zone 8,1492,projected,4530,,4164,16208,,,Large and medium scale topographic mapping and engineering survey.,,IGN Paris,OGP,2000/03/07,,1,1
2092,South Yemen / Gauss Kruger zone 9,1493,projected,4530,,4164,16209,,,Large and medium scale topographic mapping and engineering survey.,,IGN Paris,OGP,2000/03/07,,1,1
2093,Hanoi 1972 / GK 106 NE,1494,projected,4530,,4147,16586,,,Used for cadastral and large scale topographic mapping.,,BP Amoco,OGP,2000/03/07,,1,0
2094,WGS 72BE / TM 106 NE,1495,projected,4400,,4324,16506,,,Oil exploration by Total for blocks 10 and 11-1.,,Total-Fina,OGP,2000/03/07,,1,0
2095,Bissau / UTM zone 28N,3258,projected,4400,,4165,16028,,,Large and medium scale topographic mapping and engineering survey.,,US National Imagery and Mapping Agency TR8350.2.,OGP,2000/03/07,,1,0
2096,Korean 1985 / East Belt,1496,projected,4530,,4162,18251,,,Large and medium scale topographic mapping and engineering survey.,"Replaces Tokyo 1892 / Korea East Belt (CRS code 5171). Although it was intended that the grids were for most practical purposes coincident, a 10.405"" (250m) longitude offset was introduced. Replaced by Korean 1985 / Modified East Belt (CRS code 5176).",National Geographic Information Institute (NGII).,OGP,2010/06/30,2001.280 2005.460 2010.050,1,0
2097,Korean 1985 / Central Belt,3730,projected,4530,,4162,18252,,,Large and medium scale topographic mapping and engineering survey.,"Replaces Tokyo 1892 / Korea Central Belt (CRS code 5170). Although it was intended that the grids were for most practical purposes coincident, a 10.405"" (250m) longitude offset was introduced. Replaced by Korean 1985 / Modified Central Belt (code 5174).",National Geographic Information Centre (NGII).,OGP,2010/06/30,2001.280 2005.460 2010.050,1,0
2098,Korean 1985 / West Belt,1498,projected,4530,,4162,18253,,,Large and medium scale topographic mapping and engineering survey.,"Replaces Tokyo 1892 / Korea West Belt (CRS code 5169). Although it was intended that the grids were for most practical purposes coincident, a 10.405"" (250m) longitude offset was introduced. Replaced by Korean 1985 / Modified West Belt (CRS code 5173).",National Geographic Information Institute (NGII).,OGP,2010/06/30,2001.280 2005.460 2010.050,1,0
2099,Qatar 1948 / Qatar Grid,1346,projected,4400,,4286,19953,,,Large and medium scale topographic mapping and engineering survey.,Also known as Qatar Plane Coordinate or QPC system. Replaced by Qatar National Grid (code 28600).,,OGP,2000/03/07,,1,0
2100,GGRS87 / Greek Grid,3254,projected,4400,,4121,19930,,,Large and medium scale topographic mapping and engineering survey.,Oil industry uses ED50 / UTM zone 34N and ED50 / UTM zone 35N.,"Geodesy Department; Public Petroleum Corporation of Greece.",OGP,2011/07/20,2005.180 2011.062,1,0
2101,Lake / Maracaibo Grid M1,1319,projected,4499,,4249,18260,,,Oil exploration.,"Grid coordinates are (0 0) at Maracaibo Cathedral (10°38'34.678""N, 71°36'20.224""W; Lake datum). Used by Creole; MGO and Sun.",Various oil company sources.,OGP,2008/06/23,2008.045,1,0
2102,Lake / Maracaibo Grid,1319,projected,4499,,4249,18261,,,Oil exploration.,"Grid coordinates are (200000 200000) at Maracaibo Cathedral (10°38'34.678""N, 71°36'20.224""W; Lake datum). Used for Lake triangulation coordinate listing.",Various oil company sources.,OGP,2008/06/23,2008.045,1,0
2103,Lake / Maracaibo Grid M3,1319,projected,4499,,4249,18262,,,Oil exploration.,"Grid coordinates are (500000 500000) at Maracaibo Cathedral (10°38'34.678""N, 71°36'20.224""W; Lake datum). Used by Varco.",Various oil company sources.,OGP,2008/06/23,2008.045,1,0
2104,Lake / Maracaibo La Rosa Grid,1499,projected,4499,,4249,18263,,,Oil exploration.,"Grid coordinates are (X=-17044 Y=29545) at Maracaibo Cathedral (10°38'34.678""N, 71°36'20.224""W; Lake datum).
Do not confuse with the La Rosa grid used in the Cabinas area (code 5810).",Various oil company sources.,OGP,2008/06/23,2008.045,1,0
2105,NZGD2000 / Mount Eden 2000,3781,projected,4500,,4167,17931,,,Cadastral surveys.,Replaced NZGD49 / Mount Eden Circuit (code 27205) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2106,NZGD2000 / Bay of Plenty 2000,3779,projected,4500,,4167,17932,,,Cadastral surveys.,Replaced NZGD49 / Bay of Plenty Circuit (code 27206) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2107,NZGD2000 / Poverty Bay 2000,3780,projected,4500,,4167,17933,,,Cadastral surveys.,Replaced NZGD49 / Poverty Bay Circuit (code 27207) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2108,NZGD2000 / Hawkes Bay 2000,3772,projected,4500,,4167,17934,,,Cadastral surveys.,Replaced NZGD49 / Hawkes Bay Circuit (code 27208) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2109,NZGD2000 / Taranaki 2000,3777,projected,4500,,4167,17935,,,Cadastral surveys.,Replaced NZGD49 / Taranaki Circuit (code 27209) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2110,NZGD2000 / Tuhirangi 2000,3778,projected,4500,,4167,17936,,,Cadastral surveys.,Replaced NZGD49 / Tuhirangi Circuit (code 27210) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2111,NZGD2000 / Wanganui 2000,3776,projected,4500,,4167,17937,,,Cadastral surveys.,Replaced NZGD49 / Wanganui Circuit (code 27211) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2112,NZGD2000 / Wairarapa 2000,3775,projected,4500,,4167,17938,,,Cadastral surveys.,Replaced NZGD49 / Wairarapa Circuit (code 27212) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2113,NZGD2000 / Wellington 2000,3774,projected,4500,,4167,17939,,,Cadastral surveys.,Replaced NZGD49 / Wellington Circuit (code 27213) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2114,NZGD2000 / Collingwood 2000,3782,projected,4500,,4167,17940,,,Cadastral surveys.,Replaced NZGD49 / Collingwood Circuit (code 27214) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2115,NZGD2000 / Nelson 2000,3784,projected,4500,,4167,17941,,,Cadastral surveys.,Replaced NZGD49 / Nelson Circuit (code 27215) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2116,NZGD2000 / Karamea 2000,3783,projected,4500,,4167,17942,,,Cadastral surveys.,Replaced NZGD49 / Karamea Circuit (code 27216) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
2117,NZGD2000 / Buller 2000,3786,projected,4500,,4167,17943,,,Cadastral surveys.,Replaced NZGD49 / Buller Circuit (code 27217) from March 2000.,"Land Information New Zealand: LINZS25002 Standard for New Zealand Geodetic Datum 2000 Projections; 16 November 2007.",OGP,2011/01/25,2008.023 2011.005,1,0
