concat_operation_code,single_operation_code,op_path_step
8484,1498,2
8485,1241,1
8485,1499,2
8486,1241,1
8486,1500,2
8487,1241,1
8487,1501,2
8488,1241,1
8488,1502,2
8489,1241,1
8489,1503,2
8496,1241,1
8496,1515,2
8497,1243,1
8497,1515,2
8508,1454,1
8508,1520,2
8509,1241,1
8509,1521,2
8510,1241,1
8510,1522,2
8511,1241,1
8511,1523,2
8512,1241,1
8512,1524,2
8513,1241,1
8513,1525,2
8514,1241,1
8514,1526,2
8517,1527,2
8517,1528,1
8530,1539,1
8530,1540,2
8532,1240,2
8532,1541,1
8537,1237,2
8537,1545,1
8553,1241,1
8553,1553,2
8554,1241,1
8554,1554,2
8560,1150,2
8560,1559,1
8562,1240,2
8562,1560,1
8563,1565,2
8563,1568,1
8564,1473,2
8564,1576,1
8565,1188,2
8565,1574,1
8566,1188,2
8566,1572,1
8567,1036,1
8567,1149,2
8568,1240,2
8568,1584,1
8569,1149,2
8569,1588,1
8570,1043,1
8570,1146,2
8570,1149,3
8571,1240,2
8571,1570,1
8572,1149,2
8572,1571,1
8573,1149,2
8573,1591,1
8574,1578,1
8574,1580,2
8575,1579,1
8575,1580,2
8576,1150,2
8576,1594,1
8577,1150,2
8577,1595,1
8578,1150,2
8578,1596,1
8579,1150,2
8579,1593,1
8580,1149,2
8580,1611,1
8581,1237,2
8581,1616,1
8582,1454,1
8582,1741,2
8583,1461,1
8583,1731,2
8584,1313,1
8584,1752,2
8585,1313,1
8585,1702,2
8586,1241,1
8586,1704,2
8587,1241,1
8587,1705,2
8588,1241,1
8588,1706,2
8589,1241,1
8589,1707,2
8590,1241,1
8590,1717,2
8591,1241,1
8591,1728,2
8592,1241,1
8592,1708,2
8593,1241,1
8593,1739,2
8594,1241,1
8594,1750,2
8595,1241,1
8595,1712,2
8596,1241,1
8596,1714,2
8597,1241,1
8597,1713,2
8598,1241,1
8598,1748,2
8599,1241,1
8599,1742,2
8600,1241,1
8600,1709,2
8601,1241,1
8601,1743,2
8602,1241,1
8602,1718,2
8603,1241,1
8603,1719,2
8604,1241,1
8604,1721,2
8605,1241,1
8605,1720,2
8606,1241,1
8606,1725,2
8607,1241,1
8607,1722,2
8608,1241,1
8608,1710,2
8609,1241,1
8609,1723,2
8610,1241,1
8610,1711,2
8611,1241,1
8611,1715,2
8612,1241,1
8612,1716,2
8613,1241,1
8613,1724,2
8614,1241,1
8614,1744,2
8615,1241,1
8615,1749,2
8616,1241,1
8616,1726,2
8617,1241,1
8617,1727,2
8618,1241,1
8618,1729,2
8619,1241,1
8619,1745,2
8620,1241,1
8620,1730,2
8621,1241,1
8621,1737,2
8622,1241,1
8622,1732,2
8623,1241,1
8623,1733,2
8624,1241,1
8624,1734,2
8625,1241,1
8625,1735,2
8626,1241,1
8626,1746,2
8627,1241,1
8627,1736,2
8628,1241,1
8628,1747,2
8629,1241,1
8629,1738,2
8630,1241,1
8630,1740,2
8631,1240,2
8631,1805,1
8632,1240,2
8632,1806,1
8633,1238,2
8633,1828,1
8634,1240,2
8634,1839,1
8635,1313,1
8635,1849,2
8636,1130,2
8636,1881,1
8637,1756,1
8637,1944,2
8638,1260,1
8638,1837,2
8639,1654,2
8639,1762,1
8640,1253,2
8640,1882,1
8641,1883,1
8641,1897,2
8642,1623,2
8642,1884,1
8643,1272,2
8643,1891,1
8644,1272,3
8644,1761,1
8644,1891,2
8645,1618,2
8645,1757,1
8646,1240,2
8646,1902,1
8647,1313,1
8647,1946,3
8647,1950,2
8648,1986,2
8648,1991,1
8649,1990,2
8649,1991,1
8650,1071,1
8650,1073,2
8651,1063,1
8651,1065,2
8652,1064,1
8652,1065,2
8653,1146,2
8653,15753,1
8654,1146,2
8654,1149,3
8654,15753,1
8655,1240,2
8655,1902,1
8656,1240,2
8656,15790,1
8657,1240,2
8657,15792,1
8659,1158,2
8659,15896,1
