"ALIAS CODE","OBJECT_TABLE_NAME","OBJECT_CODE","NAMING_SYSTEM_CODE","ALIAS","REMARKS"
98,Unit of Measure,9114,7301,mil,"Alias also applies to other variations of a mil, especially mil_6300 and mil_6000."
100,Coordinate_Operation,17001,7301,Ghana TM,
101,Coordinate_Operation,17901,7301,Mount Eden Circuit 1949,
102,Coordinate_Operation,17902,7301,Bay of Plenty Circuit 1949,
103,Coordinate_Operation,17903,7301,Poverty Bay Circuit 1949,
104,Coordinate_Operation,17904,7301,Hawkes Bay Circuit 1949,
105,Coordinate_Operation,17905,7301,Taranaki Circuit 1949,
106,Coordinate_Operation,17906,7301,Tuhirangi Circuit 1949,
107,Coordinate_Operation,17907,7301,Wanganui Circuit 1949,
108,Coordinate_Operation,17908,7301,Wairarapa Circuit 1949,
109,Coordinate_Operation,17909,7301,Wellington Circuit 1949,
110,Coordinate_Operation,17910,7301,Collingwood Circuit 1949,
111,Coordinate_Operation,17911,7301,Nelson Circuit 1949,
112,Coordinate_Operation,17912,7301,Karamea Circuit 1949,
113,Coordinate_Operation,17913,7301,Buller Circuit 1949,
114,Coordinate_Operation,17914,7301,Grey Circuit 1949,
115,Coordinate_Operation,17915,7301,Amuri Circuit 1949,
116,Coordinate_Operation,17916,7301,Marlborough Circuit 1949,
117,Coordinate_Operation,17917,7301,Hokitika Circuit 1949,
118,Coordinate_Operation,17918,7301,Okarito Circuit 1949,
119,Coordinate_Operation,17919,7301,Jacksons Bay Circuit 1949,
120,Coordinate_Operation,17920,7301,Mount Pleasant Circuit 1949,
121,Coordinate_Operation,17921,7301,Gawler Circuit 1949,
122,Coordinate_Operation,17922,7301,Timaru Circuit 1949,
123,Coordinate_Operation,17923,7301,Lindis Peak Circuit 1949,
124,Coordinate_Operation,17924,7301,Mount Nicholas Circuit 1949,
125,Coordinate_Operation,17925,7301,Mount York Circuit 1949,
126,Coordinate_Operation,17926,7301,Observation Point Circuit 1949,
127,Coordinate_Operation,17927,7301,North Taieri Circuit 1949,
128,Coordinate_Operation,17928,7301,Bluff Circuit 1949,
129,Coordinate_Operation,19906,7301,IOEPC Lambert,Sometimes seen defined with 2 standard parallels.
130,Coordinate_Operation,19959,7301,Gold Coast Grid,
131,Coordinate_Operation,19963,7301,Sierra Leone Peninsula Grid,
132,Coordinate Reference System,21100,7301,Genuk (Jakarta) / NEIEZ,
133,Coordinate Reference System,21148,7301,Genuk / UTM zone 48S,
134,Coordinate Reference System,21150,7301,Genuk / UTM zone 50S,
135,Coordinate Reference System,22700,7301,Levant / Levant Zone,
136,Coordinate Reference System,22770,7301,Levant / Syria Lambert,
137,Coordinate Reference System,22780,7301,Levant / Levant Stereographic,
138,Coordinate Reference System,25828,7301,ETRF89 / UTM zone 28N,
139,Coordinate Reference System,25829,7301,ETRF89 / UTM zone 29N,
140,Coordinate Reference System,25830,7301,ETRF89 / UTM zone 30N,
141,Coordinate Reference System,25831,7301,ETRF89 / UTM zone 31N,
142,Coordinate Reference System,25832,7301,ETRF89 / UTM zone 32N,
143,Coordinate Reference System,25833,7301,ETRF89 / UTM zone 33N,
144,Coordinate Reference System,25834,7301,ETRF89 / UTM zone 34N,
145,Coordinate Reference System,25835,7301,ETRF89 / UTM zone 35N,
146,Coordinate Reference System,25836,7301,ETRF89 / UTM zone 36N,
147,Coordinate Reference System,25837,7301,ETRF89 / UTM zone 37N,
148,Coordinate Reference System,25838,7301,ETRF89 / UTM zone 38N,
149,Coordinate Reference System,25884,7301,ETRF89 / TM Baltic93,
150,Coordinate Reference System,27258,7301,GD49 / UTM zone 58,
151,Coordinate Reference System,27259,7301,GD49 / UTM zone 59,
152,Coordinate Reference System,27260,7301,GD49 / UTM zone 60,
153,Coordinate Reference System,27291,7301,GD49 / North Island Grid,
154,Coordinate Reference System,27292,7301,GD49 / South Island Grid,
155,Coordinate Reference System,30592,7301,Nord Sahara 1959/Voirol Unifie S Algerie,
156,Coordinate Reference System,30791,7301,Nord Sahara 1959 / Lambert Nord Voirol Unifie 1960,Voirol Unifie 1960 is NOT a geodetic datum nor GeogCRS.  It is two Lambert projected coordinate reference systems based on Nord Sahara 1959 Datum. See also code 30792.
157,Coordinate Reference System,30792,7301,Nord Sahara 1959 / Lambert Sud Voirol Unifie 1960,Voirol Unifie 1960 is NOT a geodetic datum nor GeogCRS.  It is two Lambert projected coordinate reference systems based on Nord Sahara 1959 Datum. See also code 30791.
158,Coordinate Reference System,31170,7301,Zanderij / Surinam Old TM,Old country name spelling.
159,Coordinate Reference System,31171,7301,Zanderij / Surinam TM,Old spelling for country name.
160,Coordinate Reference System,31300,7301,Belge Lambert 72,
161,Coordinate_Operation,1026,7302,Madrid to ED50 (1),
162,Coordinate_Operation,1027,7302,Madrid to ED50 (2),
163,Coordinate_Operation,1028,7302,Madrid to ED50 (3),
164,Coordinate_Operation,1029,7302,RD New to ED50/UTM31 (1),
165,Coordinate_Operation,1030,7302,ED50/UTM31 to RD New (1),
166,Coordinate_Operation,1031,7302,RD New to ED50/UTM31 (2),
167,Coordinate_Operation,1032,7302,ED50/UTM31 to RD New (2),
169,Coordinate_Operation,1283,7302,LKS94 to WGS 84 (1),
170,Coordinate Reference System,2000,7302,Anguilla 1957 / BWI Grid,
171,Coordinate Reference System,2001,7302,Antigua 1943 / BWI Grid,
172,Coordinate Reference System,2002,7302,Dominica 1945 / BWI Grid,
173,Coordinate Reference System,2003,7302,Grenada 1953 / BWI Grid,
174,Coordinate Reference System,2004,7302,Montserrat 58 / BWI Grid,
175,Coordinate Reference System,2005,7302,St Kitts 1955 / BWI Grid,
176,Coordinate Reference System,2006,7302,St Lucia 1955 / BWI Grid,
177,Coordinate Reference System,2007,7302,St Vincent 45 / BWI Grid,
178,Coordinate Reference System,2008,7302,CGQ77 / SCoPQ zone 2,
179,Coordinate Reference System,2009,7302,CGQ77 / SCoPQ zone 3,
180,Coordinate Reference System,2010,7302,CGQ77 / SCoPQ zone 4,
181,Coordinate Reference System,2011,7302,CGQ77 / SCoPQ zone 5,
182,Coordinate Reference System,2012,7302,CGQ77 / SCoPQ zone 6,
183,Coordinate Reference System,2013,7302,CGQ77 / SCoPQ zone 7,
184,Coordinate Reference System,2014,7302,CGQ77 / SCoPQ zone 8,
185,Coordinate Reference System,2015,7302,CGQ77 / SCoPQ zone 9,
186,Coordinate Reference System,2016,7302,CGQ77 / SCoPQ zone 10,
187,Coordinate Reference System,2036,7302,NAD83(CSRS) / NB Stereo,
188,Coordinate Reference System,2037,7302,NAD83(CSRS) / UTM 19N,
189,Coordinate Reference System,2038,7302,NAD83(CSRS) / UTM 20N,
190,Coordinate Reference System,2039,7302,Israeli TM Grid,
191,Coordinate Reference System,2040,7302,Locodjo 65 / UTM 30N,
192,Coordinate Reference System,2041,7302,Abidjan 87 / UTM 30N,
193,Coordinate Reference System,2042,7302,Locodjo 65 / UTM 29N,
194,Coordinate Reference System,2043,7302,Abidjan 87 / UTM 29N,
195,Coordinate Reference System,2044,7302,Hanoi 72 / Gauss zone 18,
196,Coordinate Reference System,2045,7302,Hanoi 72 / Gauss zone 19,
197,Coordinate Reference System,2046,7302,New S African CS zone 15,
198,Coordinate Reference System,2047,7302,New S African CS zone 17,
199,Coordinate Reference System,2048,7302,New S African CS zone 19,
200,Coordinate Reference System,2049,7302,New S African CS zone 21,
201,Coordinate Reference System,2050,7302,New S African CS zone 23,
202,Coordinate Reference System,2051,7302,New S African CS zone 25,
203,Coordinate Reference System,2052,7302,New S African CS zone 27,
204,Coordinate Reference System,2053,7302,New S African CS zone 29,
205,Coordinate Reference System,2054,7302,New S African CS zone 31,
206,Coordinate Reference System,2055,7302,New S African CS zone 33,
207,Coordinate Reference System,2056,7302,LV95,
208,Coordinate Reference System,2066,7302,Mount Dillon / Tobago,
209,Coordinate Reference System,2067,7302,Naparima 1955 / UTM 20N,
210,Coordinate Reference System,2081,7302,Chos Malal / Argentina 2,
211,Coordinate Reference System,2082,7302,Pampa d Castillo / Arg 2,
212,Coordinate Reference System,2083,7302,Hito XVIII / Argentina 2,
213,Coordinate Reference System,2084,7302,Hito XVIII / UTM 19S,
214,Coordinate Reference System,2089,7302,Yemen NGN96 / UTM 38N,
215,Coordinate Reference System,2090,7302,Yemen NGN96 / UTM 39N,
216,Coordinate Reference System,2091,7302,S Yemen / Gauss zone 8,
217,Coordinate Reference System,2092,7302,S Yemen / Gauss zone 9,
218,Coordinate Reference System,2096,7302,Korean 1985 / East Belt,
219,Coordinate Reference System,2097,7302,Korean 1985 / Cen. Belt,
220,Coordinate Reference System,2098,7302,Korean 1985 / West Belt,
221,Coordinate Reference System,2099,7302,Qatar Plane CS,
222,Coordinate Reference System,2136,7301,Accra / Gold Coast Grid,
223,Coordinate Reference System,2137,7301,Accra / Ghana TM,
224,Coordinate Reference System,2157,7302,IRENET95 / ITM,
225,Coordinate Reference System,2200,7302,ATS77 / NB Stereographic,
226,Coordinate Reference System,2290,7302,ATS77 / PEI Stereo,
227,Coordinate Reference System,2291,7302,NAD83(CSRS) / PEI Stereo,
228,Coordinate Reference System,2294,7302,ATS77 / MTM NS zone 4,
229,Coordinate Reference System,2295,7302,ATS77 / MTM NS zone 5,
230,Coordinate Reference System,2393,7302,KKJ / Finland zone 3,
231,Coordinate Reference System,2600,7302,LKS94,This alias is also used for geographical and geocentric CRSs.
232,Coordinate Reference System,3561,7302,Old Hawaiian / SP zone 1,
233,Coordinate Reference System,3562,7302,Old Hawaiian / SP zone 2,
234,Coordinate Reference System,3563,7302,Old Hawaiian / SP zone 3,
235,Coordinate Reference System,3564,7302,Old Hawaiian / SP zone 4,
236,Coordinate Reference System,3565,7302,Old Hawaiian / SP zone 5,
237,Coordinate Reference System,3991,7302,Puerto Rico SPCS 27,
238,Coordinate Reference System,4134,7302,PSD93,
239,Coordinate Reference System,4215,7302,BD 50,
240,Coordinate Reference System,4268,7302,NAD Michigan,
241,Coordinate Reference System,4313,7302,BD 72,
242,Coordinate Reference System,4609,7302,CGQ77,
243,Coordinate Reference System,4809,7302,BD 50 (Brussels),
244,Datum,5100,7302,msl,
245,Datum,5101,7302,ODN,
246,Datum,5102,7302,NGVD29,
247,Datum,5103,7302,NAVD88,
248,Datum,5104,7302,Yellow Sea,
249,Datum,5105,7302,Baltic,
250,Datum,5106,7302,Caspian,
251,Datum,5107,7302,NGF,
252,Datum,5109,7302,NAP,
253,Datum,5111,7302,AHD,
254,Datum,5112,7302,AHD (Tasmania),
255,Datum,5114,7302,CVD28,
256,Datum,5115,7302,Piraeus86,
257,Datum,5116,7302,N60,
258,Datum,5117,7302,RH70,
259,Datum,5118,7302,NGF - Lallemand,
260,Datum,5119,7302,NGF - IGN69,
261,Datum,5120,7302,NGF - IGN78,
262,Datum,5122,7302,JapanVD,
263,Datum,5123,7302,PHD93,
264,Datum,5127,7302,LN02,
265,Datum,5128,7302,LHN95,
266,Datum,5129,7302,EVRF2000,
267,Coordinate Reference System,5701,7302,ODN,
268,Coordinate Reference System,5702,7302,NGVD29,
269,Coordinate Reference System,5703,7302,NAVD88,
270,Coordinate Reference System,5709,7302,NAP,
271,Coordinate Reference System,5711,7302,AHD,
272,Coordinate Reference System,5712,7302,AHD (Tasmania),
273,Coordinate Reference System,5713,7302,CVD28,
274,Coordinate Reference System,5714,7302,msl height,
275,Coordinate Reference System,5715,7302,msl depth,
276,Coordinate Reference System,5723,7302,Japan Levelling Datum,
277,Coordinate Reference System,5724,7302,PHD93,
278,Coordinate Reference System,5728,7302,LN02,
279,Coordinate Reference System,5729,7302,LHN95,
280,Coordinate Reference System,5730,7302,EVRS2000,
281,Datum,6121,7302,GGRS87,
282,Datum,6122,7302,ATS77,
283,Datum,6123,7302,KKJ,
284,Datum,6124,7302,RT90,
285,Datum,6126,7302,LKS94 (ETRS89),
286,Datum,6130,7302,Moznet,
287,Datum,6132,7302,FD58,
288,Datum,6133,7302,EST92,
289,Datum,6134,7302,PSD93,
290,Datum,6140,7302,NAD83(CSRS98),
291,Datum,6151,7302,CHTRF95,
292,Datum,6152,7302,NAD83(HARN),
293,Datum,6154,7302,ED50(ED77),
294,Datum,6156,7302,S-JTSK,
295,Datum,6159,7302,ELD79,
296,Datum,6163,7302,YNGN96,
297,Datum,6170,7302,SIRGAS,
298,Datum,6171,7302,RGF93,
299,Datum,6172,7302,POSGAR,
300,Datum,6202,7302,AGD66,
301,Datum,6203,7302,AGD84,
302,Datum,6204,7302,Ain el Abd,
303,Datum,6215,7302,Belge 1950,
304,Datum,6230,7302,ED50,
305,Datum,6231,7302,ED87,
306,Datum,6237,7302,HD72,
307,Datum,6238,7302,ID74,
308,Datum,6242,7302,JAD69,
309,Datum,6246,7302,KOC,
310,Datum,6248,7302,PSAD56,
311,Datum,6258,7302,ETRS89,
312,Datum,6267,7302,NAD27,
313,Datum,6269,7302,NAD83,
314,Datum,6272,7302,NZGD49,
315,Datum,6275,7302,NTF,
316,Datum,6278,7302,OSGB70,
317,Datum,6279,7302,OS(SN)80,
318,Datum,6280,7302,Padang,
319,Datum,6283,7302,GDA94,
320,Datum,6291,7302,SAD69,
321,Datum,6297,7302,Tananarive,
322,Datum,6303,7302,TC(1948),
323,Datum,6305,7302,Voirol Unifie,
324,Datum,6308,7302,RT38,
325,Datum,6312,7302,MGI,
326,Datum,6313,7302,Belge 1972,
327,Datum,6314,7302,DHDN,
328,Datum,6318,7302,NGN,
329,Datum,6319,7302,KUDAMS,
330,Datum,6322,7302,WGS 72,
331,Datum,6324,7302,WGS 72BE,
332,Datum,6326,7302,WGS 84,
333,Datum,6608,7302,NAD27(76),
334,Datum,6609,7302,CGQ77,
335,Datum,6901,7302,ATF (Paris),
336,Datum,6902,7302,NDG (Paris),
337,Ellipsoid,7003,7302,ANS,
338,Coordinate Reference System,7401,7302,NTF / France II + Lalle,
339,Coordinate Reference System,7402,7302,NTF / France II + IGN69,
340,Coordinate Reference System,7403,7302,NTF / France III + IGN69,
341,Coordinate Reference System,7405,7302,GB National Grid + ODN,
342,Coordinate Reference System,7407,7302,NAD27 / TX_N + NGVD29,
343,Coordinate_Operation Parameter,8663,7302,k,
344,Unit of Measure,9001,7302,m,
345,Unit of Measure,9002,7302,ft,
346,Unit of Measure,9003,7302,ftUS,
347,Unit of Measure,9005,7302,ftCla,
348,Unit of Measure,9014,7302,f,
349,Unit of Measure,9030,7302,NM,
350,Unit of Measure,9031,7302,GLM,
351,Unit of Measure,9033,7302,chUS,
352,Unit of Measure,9034,7302,lkUS,
353,Unit of Measure,9035,7302,miUS,
354,Unit of Measure,9036,7302,km,
355,Unit of Measure,9037,7302,ydCla,
356,Unit of Measure,9038,7302,chCla,
357,Unit of Measure,9039,7302,lkCla,
358,Unit of Measure,9040,7302,ydSe,
359,Unit of Measure,9041,7302,ftSe,
360,Unit of Measure,9042,7302,chSe,
361,Unit of Measure,9043,7302,lkSe,
362,Unit of Measure,9050,7302,ydBnA,
363,Unit of Measure,9051,7302,ftBnA,
364,Unit of Measure,9052,7302,chBnA,
365,Unit of Measure,9053,7302,lkBnA,
366,Unit of Measure,9060,7302,ydBnB,
367,Unit of Measure,9061,7302,ftBnB,
368,Unit of Measure,9062,7302,chBnB,
369,Unit of Measure,9063,7302,lkBnB,
370,Unit of Measure,9070,7302,ftBr(65),
371,Unit of Measure,9080,7302,ftInd,
372,Unit of Measure,9081,7302,ftInd(37),
373,Unit of Measure,9082,7302,ftInd(62),
374,Unit of Measure,9083,7302,ftInd(75),
375,Unit of Measure,9084,7302,ydInd,
376,Unit of Measure,9085,7302,ydInd(37),
377,Unit of Measure,9086,7302,ydInd(62),
378,Unit of Measure,9087,7302,ydInd(75),
379,Unit of Measure,9093,7302,mi,
380,Unit of Measure,9094,7302,ftGC,
381,Unit of Measure,9101,7302,rad,
382,Unit of Measure,9102,7302,deg,
383,Unit of Measure,9103,7302,min,
384,Unit of Measure,9104,7302,sec,
385,Unit of Measure,9105,7302,gr,
386,Unit of Measure,9106,7302,g,
387,Unit of Measure,9107,7302,DMS,
388,Unit of Measure,9108,7302,DMSH,
389,Unit of Measure,9109,7302,µrad,
390,Unit of Measure,9110,7302,DDD.MMSSsss,
391,Unit of Measure,9111,7302,DDD.MMm,
392,Unit of Measure,9112,7302,c,
393,Unit of Measure,9113,7302,cc,
394,Unit of Measure,9114,7302,mil,
395,Unit of Measure,9202,7302,ppm,
396,Unit of Measure,9204,7302,Bin330ftUS,
397,Unit of Measure,9205,7302,Bin165ftUS,
398,Unit of Measure,9206,7302,Bin82.5ftUS,
399,Unit of Measure,9207,7302,Bin37.5m,
400,Unit of Measure,9208,7302,Bin25m,
401,Unit of Measure,9209,7302,Bin12.5m,
402,Unit of Measure,9210,7302,Bin6.25m,
403,Unit of Measure,9211,7302,Bin3.125m,
404,Coordinate_Operation Method,9633,7302,OSTN,
405,Coordinate_Operation Method,9824,7302,UTM,
406,Coordinate_Operation,10101,7302,Alabama East,
407,Coordinate_Operation,10102,7302,Alabama West,
408,Coordinate_Operation,10131,7302,Alabama East,
409,Coordinate_Operation,10132,7302,Alabama West,
410,Coordinate_Operation,10201,7302,Arizona East,
411,Coordinate_Operation,10202,7302,Arizona Central,
412,Coordinate_Operation,10203,7302,Arizona West,
413,Coordinate_Operation,10231,7302,Arizona East,
414,Coordinate_Operation,10232,7302,Arizona Central,
415,Coordinate_Operation,10233,7302,Arizona West,
416,Coordinate_Operation,10301,7302,Arkansas North,
417,Coordinate_Operation,10302,7302,Arkansas South,
418,Coordinate_Operation Method,9809,7301,Roussilhe,
419,Coordinate_Operation,10331,7302,Arkansas North,
420,Coordinate_Operation,10332,7302,Arkansas South,
421,Coordinate_Operation,10401,7302,California zone I,
422,Coordinate_Operation,10402,7302,California zone II,
423,Coordinate_Operation,10403,7302,California zone III,
424,Coordinate_Operation,10404,7302,California zone IV,
425,Coordinate_Operation,10405,7302,California zone V,
426,Coordinate_Operation,10406,7302,California zone VI,
427,Coordinate_Operation,10407,7302,California zone VII,
428,Coordinate_Operation,10431,7302,California zone 1,
429,Coordinate_Operation,10432,7302,California zone 2,
430,Coordinate_Operation,10433,7302,California zone 3,
431,Coordinate_Operation,10434,7302,California zone 4,
432,Coordinate_Operation,10435,7302,California zone 5,
433,Coordinate_Operation,10436,7302,California zone 6,
434,Coordinate_Operation,10501,7302,Colorado North,
435,Coordinate_Operation,10503,7302,Colorado South,
436,Coordinate_Operation,10531,7302,Colorado North,
437,Coordinate_Operation,10533,7302,Colorado South,
438,Coordinate_Operation,10600,7302,Connecticut,
439,Coordinate_Operation,10630,7302,Connecticut,
440,Coordinate_Operation,10700,7302,Delaware,
441,Coordinate_Operation,10730,7302,Delaware,
442,Coordinate_Operation,10901,7302,Florida East,
443,Coordinate_Operation,10902,7302,Florida West,
444,Coordinate_Operation,10903,7302,Florida North,
445,Coordinate_Operation,10931,7302,Florida East,
446,Coordinate_Operation,10932,7302,Florida West,
447,Coordinate_Operation,10933,7302,Florida North,
448,Coordinate_Operation,11001,7302,Georgia East,
449,Coordinate_Operation,11002,7302,Georgia West,
450,Coordinate_Operation,11031,7302,Georgia East,
451,Coordinate_Operation,11032,7302,Georgia West,
452,Coordinate_Operation,11101,7302,Idaho East,
453,Coordinate_Operation,11102,7302,Idaho Central,
454,Coordinate_Operation,11103,7302,Idaho West,
455,Coordinate_Operation,11131,7302,Idaho East,
456,Coordinate_Operation,11132,7302,Idaho Central,
457,Coordinate_Operation,11133,7302,Idaho West,
458,Coordinate_Operation,11201,7302,Illinois East,
459,Coordinate_Operation,11202,7302,Illinois West,
460,Coordinate_Operation,11231,7302,Illinois East,
461,Coordinate_Operation,11232,7302,Illinois West,
462,Coordinate_Operation,11301,7302,Indiana East,
463,Coordinate_Operation,11302,7302,Indiana West,
464,Coordinate_Operation,11331,7302,Indiana East,
465,Coordinate_Operation,11332,7302,Indiana West,
466,Coordinate_Operation,11401,7302,Iowa North,
467,Coordinate_Operation,11402,7302,Iowa South,
468,Coordinate_Operation,11431,7302,Iowa North,
469,Coordinate_Operation,11432,7302,Iowa South,
470,Coordinate_Operation,11501,7302,Kansas North,
471,Coordinate_Operation,11502,7302,Kansas South,
472,Coordinate_Operation,11531,7302,Kansas North,
473,Coordinate_Operation,11532,7302,Kansas South,
474,Coordinate_Operation,11601,7302,Kentucky North,
475,Coordinate_Operation,11602,7302,Kentucky South,
476,Coordinate_Operation,11631,7302,Kentucky North,
477,Coordinate_Operation,11632,7302,Kentucky South,
478,Coordinate_Operation,11701,7302,Louisiana North,
479,Coordinate_Operation,11702,7302,Louisiana South,
480,Coordinate_Operation,11731,7302,Louisiana North,
481,Coordinate_Operation,11732,7302,Louisiana South,
482,Coordinate_Operation,11801,7302,Maine East,
483,Coordinate_Operation,11802,7302,Maine West,
484,Coordinate_Operation,11831,7302,Maine East,
485,Coordinate_Operation,11832,7302,Maine West,
486,Coordinate_Operation,11900,7302,Maryland,
487,Coordinate_Operation,11930,7302,Maryland,
488,Coordinate_Operation,12001,7302,Massachusetts Mainland,
489,Coordinate_Operation,12002,7302,Massachusetts Island,
490,Coordinate_Operation,12031,7302,Massachusetts Mainland,
491,Coordinate_Operation,12032,7302,Massachusetts Island,
492,Coordinate_Operation,12101,7302,Michigan East,
493,Coordinate_Operation,12102,7302,Michigan Old Central,
494,Coordinate_Operation,12111,7302,Michigan North,
495,Coordinate_Operation,12112,7302,Michigan Central,
496,Coordinate_Operation,12113,7302,Michigan South,
497,Coordinate_Operation,12141,7302,Michigan North,
498,Coordinate_Operation,12142,7302,Michigan Central,
499,Coordinate_Operation,12143,7302,Michigan South,
500,Coordinate_Operation,12201,7302,Minnesota North,
501,Coordinate_Operation,12202,7302,Minnesota Central,
502,Coordinate_Operation,12203,7302,Minnesota South,
503,Coordinate_Operation,12231,7302,Minnesota North,
504,Coordinate_Operation,12232,7302,Minnesota Central,
505,Coordinate_Operation,12233,7302,Minnesota South,
