area_code,area_name,area_of_use,area_south_bound_lat,area_north_bound_lat,area_west_bound_lon,area_east_bound_lon,area_polygon_file_ref,iso_a2_code,iso_a3_code,iso_n_code,remarks,information_source,data_source,revision_date,change_id,deprecated
1048,Bhutan,Bhutan.,26.7,28.25,88.74,92.13,,BT,BTN,64,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2010/11/02,2002.341 2010.086,0
1049,Bolivia,Bolivia.,-22.9,-9.68,-69.66,-57.52,,BO,BOL,68,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2011.037,0
1050,Bosnia and Herzegovina,Bosnia and Herzegovina.,42.27,45.28,15.67,19.67,,BA,BIH,70,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2008/07/05,2002.341 2008.045 2008.053 2008.054,0
1051,Botswana,Botswana.,-26.88,-17.78,20,29.37,,BW,BWA,72,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1052,Bouvet Island,Bouvet Island - onshore and offshore.,-60.04,-50.8,-1.36,7.06,,BV,BVT,74,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1053,Brazil,"Brazil - onshore and offshore. Includes Rocas, Fernando de Noronha archipelago, Trindade, Ihlas Martim Vaz and Sao Pedro e Sao Paulo.",-35.71,7.04,-74,-25.28,,BR,BRA,76,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1054,British Indian Ocean Territory,British Indian Ocean Territory - onshore and offshore - Chagos Archipelago.,-10.69,-4.04,68.65,77.13,,IO,IOT,86,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1055,Brunei,Brunei Darussalam - onshore and offshore.,4,6.37,112.5,115.36,,BN,BRN,96,Superset of areas 2348 and 2349.,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2010/09/24,2002.341 2005.890 2008.070 2010.084,0
1056,Bulgaria,Bulgaria - onshore and offshore.,41.27,44.26,22.37,30.59,,BG,BGR,100,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1057,Burkina Faso,Burkina Faso.,9.4,15.08,-5.52,2.4,,BF,BFA,854,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1058,Burundi,Burundi.,-4.46,-2.3,29,30.87,,BI,BDI,108,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1059,Cambodia,Cambodia - onshore and offshore.,7.42,14.71,101.42,107.7,,KH,KHM,116,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1060,Cameroon,Cameroon - onshore and offshore.,1.66,13.09,8.38,16.22,,CM,CMR,120,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1061,Canada,"Canada - onshore and offshore - Alberta; British Columbia (BC); Manitoba; New Brunswick (NB); Newfoundland and Labrador; Northwest Territories (NWT); Nova Scotia (NS); Nunavut; Ontario; Prince Edward Island (PEI); Quebec; Saskatchewan; Yukon.",40.04,86.45,-141,-47.74,,CA,CAN,124,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2006.463 2011.068,0
1062,Cape Verde,"Cape Verde - onshore and offshore. Includes Boa Vista, Brava, Fogo, Maio, Sal, Santo Antao, Sao Nicolau, Sao Tiago, Sao Vicente.",11.39,20.66,-28.86,-19.55,,CV,CPV,132,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1063,Cayman Islands,"Cayman Islands - onshore and offshore. Includes Grand Cayman, Little Cayman and Cayman Brac.",17.58,20.67,-83.6,-78.72,,KY,CYM,136,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1064,Central African Republic,Central African Republic.,2.22,11.01,14.42,27.51,,CF,CAF,140,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1065,Chad,Chad.,7.46,23.51,13.47,24,,TD,TCD,148,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/09/25,2002.341 2006.540,0
1066,Chile,"Chile - onshore and offshore. Includes Easter Island, Juan Fernandez Islands, San Felix, and Sala y Gomez.",-59.86,-17.51,-113.2,-65.73,,CL,CHL,152,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1067,China,China - onshore and offshore.,7.16,53.59,73.66,134.85,,CN,CHN,156,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1068,Christmas Island,Christmas Island - onshore and offshore.,-14.74,-8.46,101.76,109.51,,CX,CXR,162,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1069,Cocos (Keeling) Islands,Cocos (Keeling) Islands - onshore and offshore.,-15.54,-5.89,93.54,102.43,,CC,CCK,166,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1070,Colombia,"Colombia - onshore and offshore. Includes San Andres y Providencia, Malpelo Islands, Roncador Bank, Serrana Bank and Serranilla Bank.",-4.24,15.5,-84.77,-66.87,,CO,COL,170,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1071,Comoros,"Comoros - onshore and offshore. Includes Anjouan, Grande Comore, Moheli and other islands.",-13.04,-8.21,42.56,45.77,,KM,COM,174,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1072,Congo,Congo - onshore and offshore.,-7.13,3.72,8.87,18.65,,CG,COG,178,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1073,Cook Islands,Cook Islands - onshore and offshore.,-23.46,-7.75,-171.1,-155.59,,CK,COK,184,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1074,Costa Rica,Costa Rica - onshore and offshore.,2.15,11.77,-90.44,-81.43,,CR,CRI,188,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1075,Cote d'Ivoire (Ivory Coast),Côte d'Ivoire (Ivory Coast) - onshore and offshore.,0.84,10.74,-8.61,-2.49,,CI,CIV,384,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1076,Croatia,Croatia - onshore and offshore.,42.3,46.57,13.02,19.5,,HR,HRV,191,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890 2007.077,0
1077,Cuba,Cuba - onshore and offshore.,18.83,25.5,-87.01,-73.57,,CU,CUB,192,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1078,Cyprus,Cyprus - onshore and offshore.,33.05,36.31,29.94,35.22,,CY,CYP,196,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1079,Czech Republic,Czech Republic.,48.56,51.09,12.11,18.98,,CZ,CZE,203,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1080,Denmark,Denmark - onshore and offshore.,54.39,58.79,3.25,15.49,,DK,DNK,208,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1081,Djibouti,Djibouti - onshore and offshore.,10.94,12.83,41.78,44.05,,DJ,DJI,262,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1082,Dominica,Dominica - onshore and offshore.,14.49,16.61,-62.81,-57.53,,DM,DMA,212,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1083,Dominican Republic,Dominican Republic - onshore and offshore.,14.96,22.41,-73.46,-66.82,,DO,DOM,214,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/08/17,2002.341 2005.890 2011.068 2011.069,0
1084,East Timor,Timor-Leste (East Timor) - onshore and offshore. Includes enclave of Oe-Cussi (Okusi).,-11.02,-8.05,124.05,127.79,,TL,TLS,626,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2008/09/24,2002.341 2005.890 2008.070,0
1085,Ecuador,Ecuador - onshore and offshore. Includes Galapagos Islands (Archipelago de Colon).,-5,5,-95.35,-75.22,,EC,ECU,218,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1086,Egypt,Egypt - onshore and offshore.,21.99,33.75,24.71,36.9,,EG,EGY,818,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1087,El Salvador,El Salvador - onshore and offshore.,9.97,14.43,-91.42,-87.65,,SV,SLV,222,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1088,Equatorial Guinea,"Equatorial Guinea - onshore and offshore. Includes Rio Muni, Bioko, Annobon, Corisco, Elobey Chico, and Ebony Grande.",-2.5,4.09,4.78,11.36,,GQ,GNQ,226,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1089,Eritrea,Eritrea - onshore and offshore.,12.33,18.57,36.4,43.3,,ER,ERI,232,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1090,Estonia,Estonia - onshore and offshore.,57.57,59.7,21.84,28,,EE,EST,233,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1091,Ethiopia,Ethiopia.,3.4,14.88,32.99,48.12,,ET,ETH,231,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1092,Falkland Islands,Falkland Islands (Malvinas) - onshore and offshore.,-56.25,-47.68,-65,-52.31,,FK,FLK,238,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2008.070 2011.037,0
1093,Faroe Islands,Faroe Islands - onshore and offshore.,59.87,67.48,-14.51,-0.49,,FO,FRO,234,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1094,Fiji,"Fiji - onshore and offshore. Includes Viti Levu, Vanua Levu, Taveuni, the Yasawa Group, the Kadavu Group, the Lau Islands and Rotuma Islands.",-25.1,-9.79,172.87,-176.16,,FJ,FJI,242,Area crosses 180-degree meridian.,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/07/20,2002.341 2005.890 2006.500,0
1095,Finland,Finland - onshore and offshore.,59.3,70.09,19.09,31.59,,FI,FIN,246,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2010/05/02,2002.341 2005.890 2008.112,0
1096,France,"France - onshore and offshore, mainland and Corsica.",41.18,51.54,-9.62,10.3,,FR,FRA,250,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2008/04/22,2002.341 2005.890 2008.030,0
1097,French Guiana,French Guiana - onshore and offshore.,2.11,8.88,-54.6,-49.46,,GF,GUF,254,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1098,French Polynesia,"French Polynesia - onshore and offshore. Includes Society archipelago, Tuamotu archipelago, Marquezas Islands, Gambier Islands, Austral Islands, and Clipperton Island.",-29,-7,-155,-132,,PF,PYF,258,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1099,French Southern Territories,"French Southern Territories - onshore and offshore. Includes Kerguelen Islands, Crozet Islands, St Paul and Amsterdam islands.",-53.26,-34.2,46.86,80.92,,TF,ATF,260,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2008/06/23,2002.341 2005.890 2008.045,0
1100,Gabon,Gabon - onshore and offshore.,-6.39,2.33,5.91,14.55,,GA,GAB,266,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1101,Gambia,Gambia - onshore and offshore.,13.02,13.83,-20.11,-13.81,,GM,GMB,270,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1102,Georgia,Georgia - onshore and offshore.,41.12,43.56,39.4,46.8,,GE,GEO,268,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1103,Germany,Germany - onshore and offshore.,47.27,55.9,3.3,15.03,,DE,DEU,276,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1104,Ghana,Ghana - onshore and offshore.,1.08,11.17,-3.9,1.34,,GH,GHA,288,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1105,Gibraltar,Gibraltar - onshore and offshore.,36.13,36.17,-5.39,-5.37,,GI,GIB,292,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1106,Greece,"Greece - onshore and offshore. Includes Aegean Islands, Ionian Islands, Dodecanese Islands, Crete, and Mount Athos.",33.23,41.77,18.27,29.97,,GR,GRC,300,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1107,Greenland,Greenland - onshore and offshore.,56.38,87.02,-75,8.12,,GL,GRL,304,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1108,Grenada,Grenada and southern Grenadine Islands - onshore and offshore.,11.36,13.4,-63.27,-60.82,,GD,GRD,308,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1109,Guadeloupe,"Guadeloupe - onshore and offshore. Includes Grande Terre, Basse Terre, Marie Galante, Les Saintes, Iles de la Petite Terre, La Desirade; St Barthélemy, and northern St Martin.",15.06,18.53,-63.66,-57.55,,GP,GLP,312,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2008.070 2011.051 2011.068,0
1110,Guam,Guam - onshore and offshore.,10.95,15.9,141.2,148.18,,GU,GUM,316,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1111,Guatemala,Guatemala - onshore and offshore.,10.61,17.82,-94.56,-88.16,,GT,GTM,320,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1112,Guinea,Guinea - onshore and offshore.,6.38,12.69,-17.07,-7.65,,GN,GIN,324,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1113,Guinea-Bissau,Guinea-Bissau - onshore and offshore.,8.22,12.69,-18.52,-13.65,,GW,GNB,624,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1114,Guyana,Guyana - onshore and offshore.,1.19,10.69,-61.39,-55.78,,GY,GUY,328,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1115,Haiti,Haiti - onshore and offshore.,14.74,20.71,-75.72,-71.63,,HT,HTI,332,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1116,Heard Island and McDonald Islands,Heard Island and McDonald Islands - onshore and offshore.,-60.04,-48.83,70.09,78.31,,HM,HMD,334,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1117,Honduras,Honduras - onshore and offshore. Includes Swan Islands.,12.99,19.58,-89.35,-79.87,,HN,HND,340,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1118,China - Hong Kong,China - Hong Kong - onshore and offshore.,22.16,22.62,113.89,114.57,,HK,HKG,344,"""Hong Kong"" in ISO 3166.",OGP,OGP,2006/02/01,2002.160 2005.890,0
1119,Hungary,Hungary.,45.78,48.6,16.12,22.91,,HU,HUN,348,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1120,Iceland,Iceland - onshore and offshore.,59.87,69.23,-28.64,-10.32,,IS,ISL,352,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1121,India,"India - onshore and offshore. Includes Amandivis, Laccadives, Minicoy, Andaman Islands, Nicobar Islands, and Sikkim.",3.12,35.55,66.16,97.45,,IN,IND,356,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1122,Indonesia,Indonesia - onshore and offshore.,-13.01,7.92,91.66,141.1,,ID,IDN,360,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1123,Iran,Iran - onshore and offshore.,23.35,39.8,44.06,63.37,,IR,IRN,364,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1124,Iraq,Iraq - onshore and offshore.,29.06,37.41,38.82,49.4,,IQ,IRQ,368,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1125,Ireland,Ireland - onshore and offshore.,48.13,56.72,-13.42,-5.2,,IE,IRL,372,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1126,Israel,Israel - onshore and offshore.,29.51,33.98,33.47,35.69,,IL,ISR,376,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1127,Italy,Italy - onshore and offshore.,34.49,47.12,5.95,18.97,,IT,ITA,380,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1128,Jamaica,Jamaica - onshore and offshore. Includes Morant Cays and Pedro Cays.,14.08,19.36,-80.59,-74.51,,JM,JAM,388,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1129,Japan,Japan - onshore and offshore.,19.01,45.92,122.49,160.09,,JP,JPN,392,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1130,Jordan,Jordan.,29.21,33.4,34.98,39.33,,JO,JOR,400,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1131,Kazakhstan,Kazakhstan - onshore and offshore.,40.67,55.57,46.52,87.41,,KZ,KAZ,398,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1132,Kenya,Kenya - onshore and offshore.,-4.9,5.03,33.93,45.17,,KE,KEN,404,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
