coord_op_code,coord_op_name,coord_op_type,source_crs_code,target_crs_code,coord_tfm_version,coord_op_variant,area_of_use_code,coord_op_scope,coord_op_accuracy,coord_op_method_code,uom_code_source_coord_diff,uom_code_target_coord_diff,remarks,information_source,data_source,revision_date,change_id,show_operation,deprecated
1026,Madrid 1870 (Madrid) to ED50 (1),transformation,4903,4230,IGB-Esp,1,2366,?,10,9617,,,It is preferable to use whichever of either Madrid 1870 (Madrid) to ED50 (2) (code 1027) or Madrid 1870 (Madrid) to ED50 (3) (code 1028) is applicable to the area.,Institut de Geomatica; Barcelona,OGP,2007-03-22,1999.820 1999.740 2003.051 2004.170 2007.043,1,0
1027,Madrid 1870 (Madrid) to ED50 (2),transformation,4903,4230,IGB-Esp N,2,2367,?,5,9617,,,Use in preference to Madrid 1870 (Madrid) to ED50 (1) (code 1026).,Institut de Geomatica; Barcelona,OGP,2003-02-06,1999.820 1999.740 2003.051 2004.170,1,0
1028,Madrid 1870 (Madrid) to ED50 (3),transformation,4903,4230,IGB-Esp S,3,2368,?,5,9617,,,Use in preference to Madrid 1870 (Madrid) to ED50 (1) (code 1026).,Institut de Geomatica; Barcelona,OGP,2000-03-07,1999.820 1999.740 2004.170,1,0
1029,Amersfoort / RD New to ED50 / UTM zone 31N (1),transformation,28992,23031,NCG-Nld,1,1172,?,,9632,9001,9001,For reverse transformation see ED50 / UTM 31N to Amersfoort / RD New (1) (code 1030).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2000-03-07,,1,1
1030,ED50 / UTM zone 31N to Amersfoort / RD New (1),transformation,23031,28992,NCG-Nld,1,1172,?,,9632,9001,9001,For reverse transformation see Amersfoort / RD New to ED50 / UTM zone 31 (1) (code 1029).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2000-03-07,,1,1
1031,Amersfoort / RD New to ED50 / UTM zone 31N (2),transformation,28992,23031,NAM-Nld,2,1172,Oil exploration.,,9632,9001,9001,Used by NAM. For reverse transformation see ED50 / UTM zone 31N to Amersfoort / RD New (2) (code 1032).,Shell / NAM,OGP,2000-03-07,,1,1
1032,ED50 / UTM zone 31N to Amersfoort / RD New (2),transformation,23031,28992,NAM-Nld,2,1172,Oil exploration.,,9632,9001,9001,Used by NAM. For reverse transformation see Amersfoort / RD New to ED50 / UTM zone 31 (2) (code 1031).,Shell / NAM,OGP,2000-03-07,,1,1
1033,Belge 72 / Lambert to ED50 / UTM zone 31N (1),transformation,31300,23031,NCG-Bel,1,1044,?,999,9631,9001,9001,For reverse transformation see ED50 / UTM 31N to Belge 72 / Lambert (code 1034).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2000-03-07,,1,1
1034,ED50 / UTM zone 31N to Belge 72 / Lambert (1),transformation,23031,31300,NCG-Bel,1,1044,?,999,9631,9001,9001,For reverse transformation see Belge 72 / Lambert to ED50 / UTM 31N (code 1033).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2000-03-07,,1,1
1035,Astra Minas to Campo Inchauspe / Argentina 2 (1),transformation,5800,22192,IHS-Arg ComRiv,1,1265,Oil exploration.,5,9621,,,,IHS Energy,OGP,2006-12-11,2006.890,1,0
1036,OSGB 1936 / British National Grid to ETRS89 (1),transformation,27700,4258,OSGB-Gbr,1,1264,Accuracy 0.2m at 67% confidence level.,0.2,9633,,,Withdrawn and replaced by OSGB 1936 / British National Grid to ETRS89 (2) (code 1039). May be taken as approximate transformation to WGS 84 - see tfm code 1681.,http://www.gps.gov.uk/gpssurveying.asp,OGP,2007-03-22,2002.620 2007.043,1,0
1037,Amersfoort / RD New to ED50 / TM 5 NE (1),transformation,28992,23095,NAM-Nld,1,1630,Oil exploration.,,9632,9001,9001,Used by NAM. For reverse transformation see ED50 / TM 5 NE to Amersfoort / RD New (1) (code 1038).,Shell / NAM,OGP,2002-07-13,,1,1
1038,ED50 / TM 5 NE to Amersfoort / RD New (1),transformation,23095,28992,NAM-Nld,2,1630,Oil exploration.,,9632,9001,9001,Used by NAM. For reverse transformation see Amersfoort / RD New to ED50 / TM 5 NE (1) (code 1037).,Shell / NAM,OGP,2002-07-13,,1,1
1039,OSGB 1936 / British National Grid to ETRS89 (2),transformation,27700,4258,OSGB-UK Gbr02,2,1264,Accuracy 0.1m at 67% confidence level.,0.1,9633,,,Replaces OSGB 1936 / British National Grid to ETRS89 (1) (code 1036). May be taken as approximate transformation OSGB 1936 / British National Grid to WGS 84 - see code 15956.,"Ordnance Survey of Great Britain, http://www.gps.gov.uk",OGP,2007-07-15,2007.067,1,0
1040,OSGB 1936 / British National Grid to WGS 84 (2),transformation,27700,4979,EPSG-UK Gbr02,2,1264,Accuracy 1m.,1,9633,,,Parameter values taken from OSGB 1936 / British National Grid to ETRS89 (2) (code 1039) assuming that ETRS89 is coincident with WGS 84 within the accuracy of the transformation.,OGP,OGP,2002-09-19,,1,1
1041,TM75 to ETRS89 (1),transformation,4300,4258,Osi-Ire,1,1305,Accuracy 0.4m (95%).,0.4,9648,9102,9102,Derived at 183 points. Recommended by OSi and OSNI for all horizontal transformations in the Republic and Northern Ireland. Use iteration for reverse transformation ETRS89 to TM75. May be used as approximation for TM75 to WGS 84 (see code 1042).,"Ordnance Survey of Great Britain, http://www.gps.gov.uk",OGP,2002-12-21,,1,0
1042,TM75 to WGS 84 (1),transformation,4300,4326,EPSG-Ire,1,1305,Accuracy 1m.,1,9648,9102,9102,Parameter values taken from TM75 to ETRS89 (1) (code 1041) assuming that ETRS89 is coincident with WGS 84 within the accuracy of the transformation. Use iteration for reverse transformation WGS 84 to TM75.,OGP,OGP,2002-12-21,,1,0
1043,ED50 to ED87 (1),transformation,4230,4231,5Nat-NSea-90,1,2330,?,1,9651,9102,9102,Latitude differences from ED50 to ED87 in decimal degrees given by coefficients A0 through A14 where U=(latitude - 55) degrees and V=longitude in decimal degrees. Longitude differences given through coefficients B0 through B14.,Norwegian Mapping Authority publication 1990:1,OGP,2002-12-21,,1,1
1044,Amersfoort / RD New to ED50 / UTM zone 31N (1),transformation,28992,23031,NCG-Nld,1,1172,?,1,9653,9001,9001,For reverse transformation see ED50 / UTM 31N to Amersfoort / RD New (1) (code 1045).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2002-12-21,,1,0
1045,ED50 / UTM zone 31N to Amersfoort / RD New (1),transformation,23031,28992,NCG-Nld,1,1172,?,1,9653,9001,9001,For reverse transformation see Amersfoort / RD New to ED50 / UTM zone 31 (1) (code 1044).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2002-12-21,,1,0
1046,Amersfoort / RD New to ED50 / UTM zone 31N (2),transformation,28992,23031,NAM-Nld,2,1172,Oil exploration.,1,9653,9001,9001,For reverse transformation see ED50 / UTM zone 31N to Amersfoort / RD New (2) (code 1047). Used by NAM until early 2006 when replaced by concatenation of tfms Amersfoort to WGS 84 (2) and WGS 84 to ED50 (18) (tfm codes 1672 and 1311).,Shell / NAM,OGP,2009-05-21,2009.013,1,0
1047,ED50 / UTM zone 31N to Amersfoort / RD New (2),transformation,23031,28992,NAM-Nld,2,1172,Oil exploration.,1,9653,9001,9001,For reverse transformation see Amersfoort / RD New to ED50 / UTM zone 31 (2) (code 1046). Used by NAM until early 2006 when replaced by concatenation of tfms ED50 to WGS 84 (18) and WGS 84 to Amersfoort (2) (tfm codes 1311 and 1672).,Shell / NAM,OGP,2009-05-21,2009.013,1,0
1048,Belge 72 / Lambert to ED50 / UTM zone 31N (1),transformation,31300,23031,NCG-Bel,1,1044,?,1,9652,9001,9001,For reverse transformation see ED50 / UTM 31N to Belge 72 / Lambert (code 1049).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2002-12-21,,1,0
1049,ED50 / UTM zone 31N to Belge 72 / Lambert (1),transformation,23031,31300,NCG-Bel,1,1044,?,1,9652,9001,9001,For reverse transformation see Belge 72 / Lambert to ED50 / UTM 31N (code 1048).,"Nederlandse Commissie voor Geodesie publication 30; ""Globale en Lokale Geodetische Systemen""; G. Strang van Hees.",OGP,2002-12-21,,1,0
1050,Amersfoort / RD New to ED50 / TM 5 NE (1),transformation,28992,23095,NAM-Nld,1,1630,Oil exploration.,1,9653,9001,9001,For reverse transformation see ED50 / TM 5 NE to Amersfoort / RD New (1) (code 1051). Used by NAM until early 2006 when replaced by concatenation of tfms Amersfoort to WGS 84 (2) and WGS 84 to ED50 (18) (tfm codes 1672 and 1311).,Shell / NAM,OGP,2009-05-21,2009.013,1,0
1051,ED50 / TM 5 NE to Amersfoort / RD New (1),transformation,23095,28992,NAM-Nld,2,1630,Oil exploration.,1,9653,9001,9001,For reverse transformation see Amersfoort / RD New to ED50 / TM 5 NE (1) (code 1050). Used by NAM until early 2006 when replaced by concatenation of tfms ED50 to WGS 84 (18) and WGS 84 to Amersfoort (2) (tfm codes 1311 and 1672).,Shell / NAM,OGP,2009-05-21,2009.013,1,0
1052,ED50 to WGS 84 (35),transformation,4230,4326,DMA-Eur W,35,2879,Minerals management in Germany.,5,9654,9102,9102,Adopted at June 2003 agreement between LBA and BSH. From TR8350.2 MRE for onshore western Europe. May be approximated to better than 0.5m by transformation code 1998. LBA will also accept TR8350.2 mean Europe geocentric translation (code 1133).,Landesbergamt for Lower Saxony and Bundesanstalt für Seeschifffahrt und Hydrographie.,OGP,2007-03-22,2003.201 2004.630 2007.043,1,0
1053,NTF to RGF93 (1),transformation,4275,4171,IGN-Fra 1m,1,1326,For applications requiring an accuracy of better than 1 metre.,1,9655,,,May be used for transformation of NTF to/from ETR89 and WGS 84 as RGF93 may be considered equivalent to ETRS89 or WGS 84 within the accuracy of the transformation. See tfm codes 1054 and 15939. May be emulated using NTv2 method - see tfm code 15958.,"Institut Geographique National (IGN) document NTG_88.pdf, ""Grille de parametres de transformation de coordonnees"". http://www.ign.fr",OGP,2007-08-01,2007.036 2007.069,1,0
1054,NTF to ETRS89 (2),transformation,4275,4258,EPSG-Fra 1m,2,1326,For applications requiring an accuracy of better than 1 metre.,1,9655,,,These parameter values are taken from NTF to RGF93 (1) (code 1053) as RGF93 may be considered equivalent to ETRS89 within the accuracy of the transformation. May be emulated using NTv2 method - see tfm code 15959.,OGP,OGP,2007-08-01,2007.036 2007.068,1,0
1055,Ain el Abd to WGS 84 (3),transformation,4204,4326,WGC-Kwt,3,1136,1 metre accuracy.,1,9603,,,Derived at station K1.,KOC,OGP,2004-06-16,,1,0
1056,Ain el Abd to WGS 84 (4),transformation,4204,4326,Par-Kwt,4,1136,1 metre accuracy.,1,9607,,,"Derivation is more precise, but no evidence that accuracy is better than Ain el Abd to WGS 84 (3). OGP recommends using Ain el Abd to WGS 84 (3).",KOC,OGP,2004-06-16,,1,0
1057,Ain el Abd to WGS 84 (5),transformation,4204,4326,Par-Kwt N,5,2956,1 metre accuracy.,1,9607,,,.,KOC,OGP,2004-06-16,,1,0
1058,Ain el Abd to WGS 84 (6),transformation,4204,4326,Par-Kwt S,6,2957,1 metre accuracy.,1,9607,,,,KOC,OGP,2004-06-16,,1,0
1059,KOC to WGS 84 (1),transformation,4246,4326,WGC-Kwt,1,1136,1 metre accuracy.,1,9603,,,,KOC,OGP,2004-06-16,,1,0
1060,NGN to WGS 84 (1),transformation,4318,4326,Mun-Kwt,1,1136,1 metre accuracy.,1,9603,,,,KOC,OGP,2004-06-16,,1,0
1061,Kudams to WGS 84 (1),transformation,4319,4326,Mun-Kwt,1,1136,For applications requiring an accuracy of better than 1 metre.,1,9603,,,,KOC,OGP,2004-06-16,,1,0
1062,Kudams to WGS 84 (2),transformation,4319,4326,Par-Kwt,2,1136,For applications requiring an accuracy of better than 1 metre.,1,9607,,,,KOC,OGP,2004-06-16,,1,0
1063,Vientiane 1982 to Lao 1997 (1),transformation,4676,4678,NGD-Lao,1,1138,Accuracy 2m.,2,9603,,,Derived at 8 stations.,National Geographic Department,OGP,2004-04-27,,1,0
1064,Lao 1993 to Lao 1997 (1),transformation,4677,4678,NGD-Lao,1,1138,Accuracy 0.15m,0.15,9603,,,Derived at 25 stations.,National Geographic Department,OGP,2004-04-27,,1,0
1065,Lao 1997 to WGS 84 (1),transformation,4678,4326,NGD-Lao,1,1138,Accuracy 5m.,5,9603,,,Derived at 25 stations.,National Geographic Department,OGP,2004-04-27,,1,0
1066,Amersfoort to ETRS89 (2),transformation,4289,4258,NCG-Nld 2000,2,1275,Accuracy 0.5m,0.5,9636,,,Replaced by Amersfoort to ETRS89 (4) (tfm code 15740). Dutch sources also quote an equivalent transformation using the Coordinate Frame 7-parameter method - see tfm code 1751.,http://rdnap.kadaster.nl/rd/index.html. Also Nederlandse Commissie voor Geodesie publication 30; 3rd edition 1997. Also with change of method and parameter units at EuroGeographics; http://crs.bkg.bund.de/crs-eu/,OGP,2007-03-22,2005.080 2007.043,1,0
1067,Minna to WGS 84 (11),transformation,4263,4326,Stat-Nga,11,1717,Oil industry exploration and production.,8,9603,,,"Used by Statoil for deep water blocks 210, 213, 217 and 218. Parameter values interpolated from Racal Survey geocentric translation contour charts for each of these four blocks and then meaned.",Statoil.,OGP,2008-11-07,2008.077,1,0
1068,Guam 1963 to NAD83(HARN) (1),transformation,4675,4152,NGS-Gum,1,1110,"Geodetic survey. Accuracy 3 m in each component, 1 sigma.",5,9613,,,NADCON method which expects longitudes positive west; EPSG GeogCRSs Guam 1963 and NAD83(HARN) (codes 4675 and 4152) have longitudes positive east. Can be used as approximation for tfm between Guam 1963 and WGS 84 - see tfm code 1069.,ftp://ftp.ngs.noaa.gov/pub/pcsoft/nadcon/readme.txt,OGP,2004-04-22,,1,0
1069,Guam 1963 to WGS 84 (2),transformation,4675,4326,EPSG-Gum,2,1110,Accuracy 5m.,5,9613,,,"Parameter files are from Guam 1963 to NAD83(HARN) (1) (code 1068), but for many purposes NAD83(HARN) can be considered to be coincident with WGS 84 within the accuracy of the transformation.",OGP,OGP,2006-02-03,2006.021,1,0
1070,Guam to WGS 84 (1),transformation,4675,4326,DMA-Gum,1,1110,For military purposes only. Accuracy 3m in each axis.,6,9603,,,Derived at 5 stations.,U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2005.200,1,0
1071,Palestine 1923 to Israel (1),transformation,4281,4141,SoI-Isr,1,1126,Accuracy: 1.5m,1.5,9603,,,For more accurate transformation contact Survey of Israel.,Survey of Israel,OGP,2006-10-13,2006.890,1,0
1072,Palestine 1923 / Israeli CS to Israel / Israeli TM (1),transformation,28193,2039,SoI-Isr,1,1126,Accuracy: 1m to north and 10m to south of east-west line through Beersheba (31°15'N).,3,9656,,,For more accurate transformation contact Survey of Israel.,Survey of Israel,OGP,2008-06-24,2006.890 2008.045,1,0
1073,Israel to WGS 84 (1),transformation,4141,4326,SoI-Isr,1,1126,Accuracy: 2m,2,9603,,,For more accurate transformation contact Survey of Israel.,Survey of Israel,OGP,2004-04-14,,1,0
1074,Palestine 1923 to WGS 84 (1),transformation,4281,4326,EPSG-Isr,1,1126,Oil Exploration. Accuracy: 1m to north and 5m to south of east-west line through Beersheba (31°15'N).,2,9606,,,Not recognised by Survey of Israel. See Palestine 1923 to WGS 84 (2) (code 8650).,Various industry sources,OGP,2008-06-24,2008.045,1,0
1075,ED50 to WGS 84 (38),transformation,4230,4326,TPAO-Tur,38,2896,Oil Exploration,10,9603,,,"Derived in 1987 by Geodetic for TPAO. Used on BP 1991/92 2D seismic surveys in central and eastern Turkish sector of Black Sea. In Turkey, replaced by tfm code 1784. Also adopted for use offshore Israel.",Various industry sources,OGP,2007-03-22,2007.043,1,0
1076,PSAD56 to WGS 84 (13),transformation,4248,4326,EPSG-Ven,13,1251,Approximation at the +/- 1m level.,1,9636,,,Parameter vales are from PSAD56 to REGVEN (1) (code 1769) assuming that REGVEN is equivalent to WGS 84 within the accuracy of the transformation.,OGP,OGP,2004-03-26,,1,1
1077,La Canoa to WGS 84 (2),transformation,4247,4326,EPSG-Ven,2,1251,Approximation at the +/- 1m level.,1,9636,,,Parameter values are from La Canoa to REGVEN (1) (code 1076) assuming that REGVEN is equivalent to WGS 84 within the accuracy of the transformation.,OGP,OGP,2004-03-26,,1,1
1078,Luxembourg 1930 to ETRS89 (2),transformation,4181,4258,ACT-Lux 0.1m,2,1146,For applications to an accuracy of 0.1 metre.,0.1,9636,,,May be taken as approximate transformation Luxembourg 1930 to WGS 84 - see code 1079.,Administration du Cadastre et de la Topographie. http://www.etat.lu/ACT,OGP,2004-03-09,,1,0
1079,Luxembourg 1930 to WGS 84 (2),transformation,4181,4326,EPSG-Lux 0.5m,2,1146,For applications to an accuracy of 0.5 metre.,0.5,9636,,,Parameter values from Luxembourg 1930 to ETRS89 (2) (code 1078). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.,Administration du Cadastre et de la Topographie. http://www.etat.lu/ACT,OGP,2004-03-09,,1,0
1080,CI1971 to WGS 84 (1),transformation,4672,4326,DMA-Nzl CI,1,2889,For military purposes. Accuracy 15m in each axis.,26,9603,,,Derived at 4 stations.,"U.S. Defense Mapping Agency TR8350.2 rev 3, January 2000. http://earth-info.nga.mil/GandG/tr8350/tr8350_2.html",OGP,2005-05-21,2005.200 2005.210,1,0
1081,CI1979 to WGS 84 (1),transformation,4673,4326,OSG-Nzl CI,1,2889,For applications requiring 2m accuracy.,2,9607,,,Derived at 4 stations using concatenation through WGS72. Parameter vales are also used to transform CI1979 to NZGD2000 - see tfm code 1082.,Land Information New Zealand: LINZS25000 Standard for New Zealand Geodetic Datum 2000; 16 November 2007.,OGP,2008-04-04,2008.023,1,0
1082,CI1979 to NZGD2000 (1),transformation,4673,4167,OSG-Nzl CI,1,2889,For applications requiring 2m accuracy.,2,9607,,,Parameter vales are from CI1979 to WGS 84 (1) (code 1081) assuming that WGS 84 is equivalent to NZGD2000 within the accuracy of the transformation.,Land Information New Zealand: LINZS25000 Standard for New Zealand Geodetic Datum 2000; 16 November 2007.,OGP,2008-04-04,2008.023,1,0
1083,JAD69 to WGS 72 (2),transformation,4242,4322,PC-Jam,2,3342,For oil exploration.,10,9603,,,Derived in 1981 through Transit observations at 4 stations by Geodetic Survey for Petroleum Corporation of Jamaica.,"""GPS Coordinate Transformation Parameters for Jamaica"", Newsome and Harvey, Survey Review Volume 37 Number 289 (July 2003). http://www.surveyreview.org",OGP,2007-01-19,2007.001,1,0
1084,JAD69 to WGS 84 (1),transformation,4242,4326,UT-Jam 5m,1,3342,For applications requiring 5m accuracy.,5,9603,,,Derived via NAD27 and WGS 72. Preliminary values derived by Survey Department but not officially promulgated.,"""GPS Coordinate Transformation Parameters for Jamaica"", Newsome and Harvey, Survey Review Volume 37 Number 289 (July 2003). http://www.surveyreview.org",OGP,2007-01-19,2007.001,1,0
1085,JAD69 to WGS 84 (2),transformation,4242,4326,UT-Jam 2m,2,3342,For applications requiring 2m accuracy.,2,9603,,,"Derived at 4 stations, tested at a further 9.","""GPS Coordinate Transformation Parameters for Jamaica"", Newsome and Harvey, Survey Review Volume 37 Number 289 (July 2003). http://www.surveyreview.org",OGP,2007-01-19,2007.001,1,0
1086,JAD69 to WGS 84 (3),transformation,4242,4326,UT-Jam 1m,3,3342,For applications requiring 1m accuracy.,1,9607,,,"Derived at 4 stations, tested at a further 9.","""GPS Coordinate Transformation Parameters for Jamaica"", Newsome and Harvey, Survey Review Volume 37 Number 289 (July 2003). http://www.surveyreview.org",OGP,2004-02-17,,1,1
1087,ED50 to WGS 84 (37),transformation,4230,4326,RJGC-Jor,37,1130,Topographic mapping.,999,9603,,,Information has not been confirmed by National Mapping Agency.,Various industry sources,OGP,2004-01-29,,1,0
1088,Monte Mario to WGS 84 (5),transformation,4265,4326,ENI-Ita Adr N Anc,5,2882,Oil exploration and production,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1089,Monte Mario to WGS 84 (6),transformation,4265,4326,ENI-Ita Adr Anc-Gar,6,2883,Oil exploration and production,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1090,Monte Mario to WGS 84 (7),transformation,4265,4326,ENI-Ita Adr S Gar,7,2884,Oil exploration and production,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1091,Monte Mario to WGS 84 (8),transformation,4265,4326,ENI-Ita Otr,8,2885,Marine navigation,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1092,Monte Mario to WGS 84 (9),transformation,4265,4326,ENI-Ita N Jon,9,2886,Marine navigation,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1093,Monte Mario to WGS 84 (10),transformation,4265,4326,ENI-Ita E Sic,10,2887,Marine navigation,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1094,Monte Mario to WGS 84 (11),transformation,4265,4326,ENI-Ita W Sic,11,2888,Marine navigation,10,9603,,,,ENI E&P Division (AGIP),OGP,2004-01-20,,1,0
1095,PSAD56 to WGS 84 (13),transformation,4248,4326,EPSG-Ven,13,1251,Approximation at the +/- 1m level.,15,9636,,,Parameter values are from PSAD56 to REGVEN (1) (code 1769) assuming that REGVEN is equivalent to WGS 84 within the accuracy of the transformation.,OGP,OGP,2004-04-05,2004.184,1,0
1096,La Canoa to WGS 84 (2),transformation,4247,4326,EPSG-Ven,2,1251,Approximation at the +/- 1m level.,15,9636,,,Parameter values are from La Canoa to REGVEN (1) (code 1771) assuming that REGVEN is equivalent to WGS 84 within the accuracy of the transformation.,OGP,OGP,2004-04-05,2004.184,1,0
1097,Dealul Piscului 1970 to WGS 84 (2),transformation,4317,4326,EPSG-Rom,2,1197,"Accuracy 3m, 5m and 3m in X, Y and Z axes.",7,9603,,,Parameter values taken from Pulkovo 1942 to WGS 84 (9) (code 1293) assuming that Pulkovo 1942 in Romania is equivalent to Dealul Piscului 1970.,OGP,OGP,2007-08-28,2007.082,1,1
1098,IGM95 to ETRS89 (1),transformation,4670,4258,IGM-Ita,1,1127,IGM95 is a realisation of ETRS89.,0,9603,,,May be taken as approximate transformation IGM95 to WGS 84 - see code 1099.,ENI,OGP,2004-01-07,,1,0
1099,IGM95 to WGS 84 (1),transformation,4670,4326,IGM-Ita,1,1127,Approximation at the 1m level.,1,9603,,,Parameter values taken from IGM95 to ETRS89 (1) (code 1098) assuming that ETRS89 is coincident with WGS 84 within the accuracy of the transformation.,ENI,OGP,2004-01-07,,1,0
1100,Adindan to WGS 84 (1),transformation,4201,4326,DMA-Eth Sud,1,1271,For military purposes only. Accuracy 5m in each axis.,9,9603,,,Derived at 22 stations.,U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2005.200,1,0
1101,Adindan to WGS 84 (2),transformation,4201,4326,DMA-Bfa,2,1057,For military purposes. Accuracy 25m in each axis.,44,9603,,,"Derived at 1 station connected to the Adindan network through the 1968-69 12th parallel traverse. Note: Adindan datum is used in Ethiopia and Sudan, not Burkino Faso.",U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2002.380 2005.200,1,0
1102,Adindan to WGS 84 (3),transformation,4201,4326,DMA-Cmr,3,3226,For military purposes. Accuracy 25m in each axis.,44,9603,,,"Derived at 1 station connected to the Adindan network through the 1968-69 12th parallel traverse. Note: Adindan datum is used in Ethiopia and Sudan, not Cameroon.",U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2002.380 2005.200,1,0
1103,Adindan to WGS 84 (4),transformation,4201,4326,DMA-Eth,4,1091,For military purposes. Accuracy 3m in each axis.,6,9603,,,Derived at 8 stations.,U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2005.200,1,0
1104,Adindan to WGS 84 (5),transformation,4201,4326,DMA-Mli,5,1153,For military purposes. Accuracy 25m in each axis.,44,9603,,,"Derived at 1 station connected to the Adindan network through the 1968-69 12th parallel traverse. Note: Adindan datum is used in Ethiopia and Sudan, not Mali.",U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2002.380 2005.200,1,0
1105,Adindan to WGS 84 (6),transformation,4201,4326,DMA-Sen,6,3304,For military purposes. Accuracy 25m in each axis.,44,9603,,,"Derived at 2 stations connected to the Adindan network through the 1968-69 12th parallel traverse. Note: Adindan datum is used in Ethiopia and Sudan, not Senegal.",U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2002.380 2005.200,1,0
1106,Adindan to WGS 84 (7),transformation,4201,4326,DMA-Sud,7,3311,"For military purposes. Accuracy 3m, 5m and 3m in X, Y and Z axes.",7,9603,,,Derived at 14 stations.,U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2005.200,1,0
1107,Afgooye to WGS 84 (1),transformation,4205,4326,DMA-Som,1,1214,For military purposes. Accuracy 25m in each axis.,44,9603,,,Derived at 1 station.,U.S. Defense Mapping Agency TR8350.2 September 1987.,OGP,2005-05-21,2005.200,1,0
